yang	which
diakses	accessible
diaktifkan	activated
dianalisis	analyzed
dianonimkan	anonymized
Diari	Diary
didiagnosis	diagnosed
digit	digits
dihubungi	contacted
diidentifikasi	identified
dikelola	managed
dikontrol	controlled
Dinonaktifkan	Disabled
dipersonalisasi	personalized
diproses	processed
dipublikasikan	published
diputus	decided
diresepkan	prescribed
disinfeksi	disinfection
ditampilkan	displayed
dosis	dose
efektivitas	effectiveness
Ekaterinburg	Yekaterinburg
ekspirasi	expiration
emosional	emotional
Galat	Error
gantilah	change it
Halo	Hello
identitasnya	his identity
indikasi	indication
individu	individual
Inisialisasi	Initialization
intens	intense
Juan	John
Jum	Fri
Kairo	Cairo
Kaledonia	Caledonia
Kam	Thu
Kambuh	Relapse
kambuhnya	recurrence
Kamchatsky	Kamchatka
kanula	cannula
Kbcrn	Kbrn
Kbl	Before
kebijakan	policy
kebocoran	leak
Kekambuhan	Recurrence
Kekentalan	Viscosity
kekhawatiran	concern
kelayakan	qualification
kelembapan	humidity
keluaran	output
Kepekaan	Sensitivity
kerahasiaannya	its confidentiality
kinerjanya	his performance
klinis	clinical
kondensat	condensate
Konfirmasi	Confirmation
Konfirmasikan	Confirm
konsentrasi	concentration
Kopenhagen	Copenhagen
kuesioner	questionnaire
La	Yes
layanan	service
lokalitas	locality
maksimum	maximum
masker	mask
Mazatlán	Mazatlan
medis	medical
Mei	May
Meksiko	Mexico
meluangkan	spend
memengaruhi	influence
memicu	trigger
Mendengkur	Snoring
mengaktifkan	activate
mengi	wheezing
mengidentifikasi	identify
menginspirasi	inspire
mengorfirmasi	confirm
menyinkronkan	synchronize
merokok	smoking
min	mean
Mnghtng	Morning
Moskow	Moscow
Muskat	Muscat
Nihil	Nil
Nikosia	Nicosia
Nonaktifkan	Disable
nz	new zealand
oksigen	oxygen
oksimeter	oximeter
Oksimetri	Oximetry
opsi	option
Oseania	Oceania
pakah	what
Pelepasan	Discharge
pemantauan	monitoring
Pemicuan	Trigger
pengaturan	arrangement
pengembangan	development
pengeringan	drying
Penggelembungan	Inflating
penggunaannya	its use
Penghangatan	Warm-up
pengidentifikasi	identifier
pengoperasian	operation
Pengunggahan	Uploading
perangkat	device
performa	performance
Perfusi	Perfusion
perilaku	behavior
pernapasan	breathing
personalisasi	personalization
Pneumokokus	Pneumococcus
ponsel	mobile phone
Port	Ports
PPOK	COPD
Praha	Prague
Preferensi	Preferences
privasi	privacy
produknya	the product
Psn	PSN
Rab	Wed
Rangoon	Yangon
rentang	range
rilis	release
Sab	Sat
sambungkan	connect
sbg	as
sdm	tbsp
sdt	tsp
Selandia	Zealand
sensitif	sensitive
Sensitivitas	Sensitivity
sepekan	a week
Sesuaikan	Customize
Singapura	Singapore
solusi	solution
St	St.
steker	plug
steroid	steroids
stres	stress
sumbatan	blockage
suplai	supply
tampilan	display
tampilkan	show
Tdk	Not
Teheran	Tehran
Tek	Tech
teknis	technical
Telemetri	Telemetry
terapeutik	therapeutic
terapi	therapy
terdeteksi	detected
terdisinfeksi	disinfected
terhentinya	cessation
terhubung	connected
Terkadang	Sometimes
terkait	related
terkini	latest
Terkoordinasi	Coordinated
Terkoordinasi+	Coordinated+
Terputusnya	The disconnection
Tersmbg	Related
tidakUnggah	noUpload
titrasi	titration
trakeostomi	tracheostomy
tren	trend
Unggah	Upload
unggahan	upload
Verde	Green
Warsawa	Warsaw
wawasan	insight
Wina	Vienna
Wkt	Time
zona	zone
abrasif	abrasive
acara	program
adaptor	adapter
aksesorinya	accessories
Aktivasi	Activation
Alirantarget	Targetstream
aman	safe
ambien	ambient
amonia	ammonia
amonium	ammonium
anestesi	anesthesia
Anorganik	Inorganic
Antarmuka	Interface
Apabila	If
apakah	whether
Aromatik	Aromatic
aseptik	aseptic
asumsi	assumption
atas	on
atauterbelit	orentangled
atautisuberalkohol	oralcohol tissue
autoklaf	autoclave
awal	beginning
baki	tray
banyak	Lots
Batasanalarm	Alarm limit
batasyanglebihketat	tighter limits
bawah	lower
beberapa	a number of
belakang	behind
benar	Correct
benardiperlukan	absolutelynecessary
benda	object
berada	is at
beragam	diverse
berakhirnya	ending
beraliran	flow
beralkohol	alcoholic
berapa	How many
Berat	Heavy
berdampak	impact
berdekatan	close
berfungsi	functioning
bergantian	alternate
berisi	containing
beritahukan	tell
berkala	periodic
berkedip	blink
berkelanjutan	sustainable
berkisar	range
berkonsultasi	consult
berkualitas	quality
berlanjut	to be continued
berminyak	greasy
Beroda	Wheeled
beroperasi	operate
berpemanas	heated
BERPENGHANGAT	WARMED UP
berpotensi	potential
bersambung	continued
berserabut	stringy
berserat	fibrous
bersertifikasi	certified
bersifat	nature
bersinggungan	intersect
BERTEKANAN	PRESSURE
berubah	changed
bervariasi	varies
berwenang	authorized
bilas	rinse
bip	beep
birunya	blue
blockages	blocks
boleh	may
botolan	bottled
braket	bracket
bukan	No
bukanbasah	notwet
bulan	month
buruknya	bad
cabut	pull out
cadang	spare
cairan	fluid
cantelan	hanger
cara	method
catatan	notes
catu	cat
cedera	injury
centang	tick
cipratan	splash
Cmenimbulkanmasalah	Causing problems
cobalah	try
Colokkan	Plug
daftar	list
dahulu	formerly
dalam	in
dandiatassuhu	andabovetemperature
dantidakkorosif	andnon-corrosive
dasar	base
dayanya	power
deaktivasi	deactivation
defaultnya	default
dekat	near
demikian	thus
dengankenaikan	withincrease
dengannya	with him
desaturasi	desaturation
desinfeksi	disinfection
deskripsi	description
detergen	detergent
Detergenringan	Mild detergent
deterjen	detergent
detik	second
dewasa	mature
diakses	accessed
dialirkan	streamed
dialokasikan	allocated
diamati	observed
DIAPANASKAN	HEATED
diatur	set
dibandingkan	compared to
dibatasiantara	limitedbetween
dibatasihingga	limitedto
dibiarkan	left
dicabut	revoked
dicantumkan	listed
didesinfeksi	disinfected
didisinfeksi	disinfected
didistribusikan	distributed
dihangatkan	warmed up
dihantarkan	delivered
dihasilkan	generated
dihilangkan	removed
diinginkan	wanted
diinspirasi	inspired
dijabarkan	explained
dijalankan	run
dijeda	paused
dijual	for sale
dikarenakan	because
dikemas	packed
dikencangkan	tightened
DIKOMPRES	COMPRESSED
dilembapkan	moisturized
dilepas	released
dilonggarkan	loosened
Dimensi	Dimension
dinamis	dynamic
dinilai	rated
dinyalakan	turned on
dioperasikan	operated
dipanjangkan	extended
dipantau	monitored
dipatuhi	obeyed
diperbaiki	fixed
diperhatikan	be noted
diperlukan	required
dipertahankan	maintained
diperuntukkan	intended
dipicu	triggered
diprogram	programmed
dirancang	designed
diredupkan	dimmed
direkomendasikan	recommended
direktif	directive
direset	reset
disalurkan	distributed
disarankan	recommended
disertakan	included
diservis	serviced
disterilisasi	sterilized
dititrasi	titrated
ditujukan	addressed
ditumpuk	stacked
diuraikan	described
diverifikasi	verified
dll	etc
dudukan	seat
durasi	duration
edukasi	education
eksterior	exterior
ekstrem	extreme
elektrik	electric
elektromagnetik	electromagnetic
elektronik	electronic
emisi	emission
erat	closely
Etilen	Ethylene
fasilitas	facility
Fenol	Phenol
Formaldehida	Formaldehyde
frekuensi	frequency
ganti	change
Gantisekarang	Change now
Gantunglah	Hang it up
Glosarium	Glossary
hal	matter
halangi	block
Halini	This matter
halus	fine
harap	please
hariannya	daily
Hasil	Results
hening	silent
Hidrokarbon	Hydrocarbon
hidroksida	hydroxide
hidup	life
hilang	is lost
hilangnya	the disappearance
hipoklorit	hypochlorite
hipoksia	hypoxia
hipotermia	hypothermia
hirup	breathe
hubungi	contact
hubungkan	connect
humidifikasi	humidification
ia	He
Importir	Importer
imunitas	immunity
inci	inch
Indonesian	English
inframerah	infrared
ingin	want to
inhalasi	inhalation
inkubator	incubator
insiden	incident
inspirasi	inspiration
instalasi	installation
interupsi	interruption
intubasi	intubation
INVASIF	INVASIVE
iodin	iodine
jadwal	timetable
jalur	track
jam	O'clock
Janganmenggunakan	Don't use
jarang	seldom
jauh	Far
jenuh	fed up
jepit	pinch
Jikaair	Ifwater
kadar	level
kali	time
kalinya	times
Kartrid	Cartridge
kaustik	caustic
kebocoran	leakage
kecepatan	speed
keduanya	both of them
kehabisan	out of
kelebihan	excess
keluar	go out
keluarkan	take out
kemasan	packaging
kemasanisi	packagingcontent
kemiringan	slope
kepatuhan	compliance
keretakan	rift
kesalahan	error
KESELURUHAN	OVERALL
Kesesuaian	Compliance
ketat	strict
ketentuan	provision
ketidakpastian	uncertainty
Keton	Ketone
khususnya	specifically
kinerja	performance
kiranya	hopefully
klaim	claim
klik	click
Klorin	Chlorine
kompatibel	compatible
kompatibilitas	compatibility
Kompeten	Competent
Kompetensi	Competence
komponen	component
komunikasi	communication
kondensasi	condensation
Kondisialarm	Alarm condition
Kondisipengoperasian	Operating conditions
koneksi	connection
konektor	connector
konfigurasi	configuration
konsentrator	concentrator
konsultasikan	consult
kontaminasi	contamination
kontinu	continuous
korosif	corrosive
kurang	not enough
kuras	drain
laju	rate
lama	long
langsung	direct
lanjut	carry on
larutan	solution
Larutanalkohol	Alcohol solution
lembap	moist
lembut	gentle
Lepas	Let go
lihat	Look
listriknya	the electricity
maka	so
maks	max
maksimumnya	maximum
Malam	Evening
manfaat	benefit
masker	face mask
masukkan	insert
maupun	and
melembapkan	moisturize
melodi	melody
memanaskannya	heat it up
memang	of course
memantau	monitor
memasukkan	enter
mematikannya	turn it off
membaca	read
membahayakan	endanger
memegang	hold
memerah	blushing
Memeriksa	Inspect
memindahkan	move
meminimalkan	minimize
memiringkan	tilt
memodifikasi	modify
mempelajari	learn
memperoleh	get
mempertahankan	maintain
memproses	processing
memungkinkan	allows
menahan	withhold
menangani	handle
mencabut	revoke
mencantumkan	to list
mencapai	reach
mencapaialiran	reachstream
mencederai	to injure
mendengar	hear
mendeteksi	detect
mengakibatkan	result
mengakses	access
mengalir	flow
mengasumsikan	assume
mengelap	wipe
mengeluarkan	emit
mengenakan	wearing
mengeringkan	to dry
mengeringnya	drying up
mengetahui	know
mengevaluasi	evaluate
menggunakan	use
menghantarkan	deliver
mengheningkan	silence
Menghentikanterapi	Stop therapy
menghubungkannya	connect it
mengisi	fill in
mengonfigurasi	configure
mengonfirmasi	confirm
mengoperasikan	operate
mengunduh	download
mengusapnya	wipe it
meningkatkan	increase
menjadi	become
menjaga	guard
menjamin	ensure
menjauh	avoid
menonaktifkan	disable
mensterilkan	sterilize
mensterilkannya	sterilize it
menuju	going to
menular	infectious
menusuk	stab
menyalakan	turn on
menyeluruh	comprehensive
menyertai	accompanying
menyimulasikan	simulate
merawat	nurse
mereka	they
merendam	soak
meresepkan	prescribe
merokok	smoke
merosot	slump
merugikan	harm
merusak	damage
metanol	methanol
meter	meters
minggu	Sunday
mingguan	weekly
mingguannya	weekly
MINIMAL	MINIMUM
miring	crooked
misalnyadengan	for examplewith
misalnyafasilitas	for examplefacilities
monoksida	monoxide
mungkin	Possible
muskuloskeletal	musculoskeletal
naik	go on
natrium	sodium
neonatus	neonate
nilai	mark
NONINVASIF	NONINVASIVE
nyala	on
Oksida	Oxide
oksigennya	oxygen
Oksigentambahanjuga	Additional oxygen too
online	on line
opsional	optional
padapedomanini	onthisguideline
pak	pack
pakai	use
panduan	guide
Pantau	Monitor
paru	lungs
Pasang	Install
Pasangkan	Pair
pasokan	supply
Pasteurisasi	Pasteurization
Pediatri	Pediatrics
pelampung	lifebuoy
pelarut	solvent
pelatihan	training
pelembap	moisturizer
pemakaian	usage
pemanas	heating
pemanasan	warmup
pemanasnya	the heater
pemasangan	installation
pemasok	supplier
Pemberian	Giving
Pemberitahuan	Announcement
pembersih	cleaner
pembuangannya	disposal
Pembuatan	Creation
pemecahan	solving
pemeringkat	rating
pemesanan	booking
pemrosesan	processing
pemutih	bleach
penanganan	handling
penanggung	guarantor
pencegahan	prevention
pencuci	washer
pendinginan	cooling
penganalisis	analyzer
pengantaran	delivery
pengaturanoksigen	oxygensetting
Pengecualiannya	The exception
Pengelolaan	Management
pengendalian	control
pengganti	replacement
penggantian	replacement
Penggantianfilter	Filter replacement
penggantung	hanger
penggosok	polisher
penghangatan	warming up
penghantaran	delivery
Penghitung	Counter
pengisian	filling
pengisolasi	isolator
pengondisi	conditioner
pengukuran	measurement
Penjepit	Clamp
penumpukan	accumulation
penurunan	decrease
PENUTUP	CLOSING
penyalaan	ignition
Penyaring	Filter
Penyebab	Reason
penyebaran	distribution
penyedia	provider
penyiapan	setup
penyim	saver
penyokong	supporters
penyulutan	ignition
penyumbatan	blockage
peraturan	regulation
perawatan	maintenance
Perawatanharian	Dailycare
Perawatanmingguan	Weeklycare
Perendaman	Immersion
perihal	regarding
Periksaselang	Checkhose
periode	period
perkiraan	estimation
perlu	need
permukaannya	the surface
pernah	Once
perpanjangan	extension
persediaan	supply
persetujuan	agreement
persyaratan	condition
perwakilan	representative
petunjuk	instruction
Petunjukpembuangan	Disposal instructions
piksel	pixel
pintar	clever
polikarbonat	polycarbonate
Polisulfon	Polysulfone
portabel	portable
Posisikan	Position
posisinya	his position
praktisi	practitioner
primer	primary
produsen	producer
produsennya	the manufacturer
profesional	professional
pun	even
putar	turn
radiasi	radiation
ragu	hesitant
rak	rack
Rangkaian	Series
referensi	reference
Remas	Massage
rentang	span
residu	residue
RESISTENSI	RESISTANCE
Respirasi	Respiration
respons	response
retak	cracked
ruang	room
rujukan	reference
rusak	damaged
saja	just
saksama	careful
sama	The same
sampah	rubbish
Sarung	Sarong
saturasi	saturation
sebagian	part
sebaiknya	should
secara	by
sedang	currently
segera	quick
sehingga	so that
sejajarkan	align
sejuk	cool
sekali	very
Sekresi	Secretion
sekrup	screw
selang	hose
selangnya	the hose
selanjutnya	furthermore
selubungnya	the sheath
seluler	mobile
semaksimal	as much as possible
semestinya	should
sendiri	Alone
sengatan	sting
sepanjang	all along
sepenuhnya	fully
seprai	bedsheet
seri	series
Sesegera	As soon as possible
sesering	as often as
sesi	session
sesuai	in accordance
setidaknya	at least
Siang	Afternoon
signifikan	significant
siklus	cycle
Simpanditempatyang	Savewhere
Sintetis	Synthetic
Sinyalalarm	AlarmSignal
Sinyalinformasiaudio	audioinformationsignal
sirkuit	circuit
sirkuitnya	the circuit
Sisihkan	Set aside
situs	site
soket	socket
spesifikasi	specification
Spesifikasiproduk	Product specifications
stekernya	the plug
steril	sterile
sterilisasi	sterilization
stopkontak	electric socket
suhunya	the temperature
Suhutitikembuntarget	Dew point temperaturetarget
suku	ethnic group
suling	flute
sumbat	plug
tahan	stand
tahukan	know
tambahan	addition
tampilan	appearance
Tancapkan	Plug in
targetnya	target
Tegangan	Voltage
teknisi	technician
tenaga	power
tepat	appropriate
terakhir	final
terakumulasi	accumulated
terapan	applied
terasa	felt
terbakar	burnt
terbelit	entangled
terdistribusi	distributed
terendah	lowest
terganggunya	disturbed
terhadap	to
terhambat	hampered
terhentinya	stopped
terikat	bound
terintegrasi	integrated
terjadi	happen
terjatuh	fall
terkena	caught
terkontaminasi	contaminated
terlebih	moreover
terlepas	regardless
terlihat	seen
termampatkan	compressed
termetilasi	methylated
terpapar	exposed
terpisah	separated
Terputusnya	Disconnection
Tersaturasi	Saturated
tersedak	choked
tertampung	accommodated
tertekan	stressed
tertekuk	bent
tertera	stated
terurai	unravel
terus	Keep going
Teruslah	Keep going
tetap	still
tetesan	droplets
tidakabrasif	nonabrasive
tidakberacun	non-toxic
tinggi	tall
tingkat	level
Tiriskan	Drain
tisu	tissue
Tuas	Lever
tujuan	objective
Tujuanpenggunaan	Purpose of use
tutup	closed
ü	ü
ujung	end
ultrasonik	ultrasonic
undang	invite
Untukmemastikanbahwa	To ensure that
urutan	order
utilitas	utility
ventilasinya	the ventilation
vertikal	vertical
wadah	receptacle
wajib	must
waktunya	its time
walaupun	although
yaitu	that is
yangdicelupkanke	dippedin
yodium	iodine
a	a
aa	aa
aakomodasi	aaccommodation
ªAnda	ªYou
ǻatasi	
about	about
absolute	absolute
ACan't	ACan't
accent	accent
access	access
accessibility	accessibility
accessing	accessing
accessories	accessories
accessory	accessories
accidental	accidental
accomidate	accommodate
accomodates	accommodates
accomodating	accommodating
account	account
accounts	accounts
accuracy	accuracy
accurately	accurately
acess	access
acessibility	accessibility
aChange	aChange
action	action
activate	activate
activated	activated
Active	Active
ActiveSync	ActiveSync
activex	activex
ada	there
adapter	adapter
adapters	adapters
add	add
added	added
adding	adding
additional	additional
addon	addon
address	address
addresses	address
adds	adds
adisk	adisk
adjust	adjust
administer	admin
administrater	administrator
administratif	administrative
Administration	Administration
administrative	administrative
administrator	administrator
administratorbOpen	administratorbOpen
administratorjBuka	administratorjOpen
admins	admin
adress	address
ads	ads
advertising	advertising
advertizing	advertising
advertorial	advertorial
adverts	adverts
adware	adware
adwear	adwear
Æfilter	Æfilter
AEncrypted	AEncrypted
ænegara	æcountry
aero	aero
ÆThe	ÆThe
äFile	File
AFiles	AFiles
again	again
agar	so
aggregator	aggregator
agp	agp
agregator	aggregator
ahead	ahead
ªikon	Icon
airplane	airplane
Ājam	Ajam
ajust	adjust
äkapital	capital
akes	akes
akhiri	end
AKlik	AClick
Akomodasikan	Accommodate
aksesibilitas	accessibility
AksesSesuaikan	AccessŸCustomize
aktifkan	activate
akun	account
akurasi	accuracy
akurat	accurate
ALakukan	Do it
alas	alas
Album	Album
alert	alert
AlertFYou	AlertFYou
alerts	alerts
alias	alias
aliasing	aliasing
Aliran	Level Flow
alkan	alkane
all	all
allow	allow
allowed	allowed
allowing	allowing
allows	allows
almat	letter
alokasi	allocation
alphabetise	alphabetize
alphabetize	alphabetize
already	already
also	also
Alt	Alt
alter	alter
always	always
ambient	ambient
amd	amd
AMemulai	Start
Àmendiagnosis	Diagnosing
Amerek	America
amount	amount
an	an
analisis	analysis
analyse	analyze
analysis	analysis
analyze	analyze
and	and
AndaALihat	YouASee
angle	angle
animasi	animation
Animasikan	Animate
animation	animation
animations	animations
another	another
answers	answers
anti	anti
antispyware	antispyware
antivirus	antivirus
Antrean	Queue
any	any
anytime	anytime
anyway	anyway
apcompat	apcompat
aplikasi	application
Aplikasi	File@ application
appcompat	appcompat
AppData	AppData
appDpribadi	appDprivadi
appearance	appearance
Apple	Apple
applet	applet
applets	applets
Applicable	Applicable
application	application
applications	applications
apply	apply
applying	applying
apps	apps
àprediksi	@prediction
aps	aps
archive	archive
archived	archived
Archives	Archives
are	are
area	area
ario	ario
aritmatika	arithmetic
arounds	arounds
arp	arp
arrange	arrange
arranging	arranging
arrow	arrow
arrows	arrows
aru	aru
as	us
ªScan	ªScan
ąsentimeter	ącentimeter
asesibilitas	accessibility
asks	asks
asleep	asleep
asm	asm
asosiasi	association
assembly	assembly
assemblyIdentity	assemblyIdentity
assistance	assistance
associate	associate
associated	associated
associates	associates
association	association
associations	associations
at	or
atasi	overcome
atribut	attribute
attempting	attempting
attributes	attributes
atuo	you
atur	set
Au	Oh
Ǟubah	Change
audible	audible
audio	audio
Audio	Audio CD
audit	audit
Authentication	Authentication
auto	auto
autocomplete	autocomplete
autocorrect	autocorrect
autofill	autofill
autofinish	autofinish
autohide	autohide
AutoMain	AutoPlay
automated	automated
automatic	automatic
automatically	automatically
automaticupdates	automaticupdates
autoplay	autoplay
autorun	autorun
autoshift	autoshift
autoshow	autoshow
autostart	autostart
autoupdate	autoupdate
autowake	autowake
auxiliary	auxiliary
available	available
available	available Move
awaken	awaken
awetkan	preserve
àWindows	@Windows
ayar	settings
AYou	You
b	b
back	back
background	background
backing	backing
backuo	backuo
Backup	Backup
backups	backups
bad	bad
badge	badge
bakar	bake
BakarBakar	Bake'Bake
baki	remaining
balance	balance
balanced	balanced
ball	ball
balloon	balloon
banned	banned
bar	bar
bars	bars
baruBOpen	newBOpen
baruEBersihkan	newEClean
base	base
bat	bat
Batal'Pilih	Cancel'Select
batalkan	cancel
batasan	limitations
BatasanuOperasi	Operation Limits
batasi	limit
batteries	batteries
battery	battery
bawah	below
bCreates	bCreates
BD	BD
be	be
beam	beam
because	because
been	been
beep	beep
beeps	beeps
before	before
begin	start
behavior	behavior
being	being
belajar	learn
belong	belong
below	below
Beranda	Home
berapa	how much?
berasosiasi	associate
berbasis	based
berbe	different
bercoretan	scribble
bergulir	rolling
berhibernasi	hibernate
berhuruf	lettered
berisi	contains
berkdeip	@sad_boy
berkeip	@smile
berlabel	labeled
berlaku	happening
bermeter	metered
berpartisi	partitioned
bersamaan	at the same time
berstatus	status
bertab	tab
bertangan	@handsome
bertipe	type
BesarBTampilkan	BigBShow
best	best
better	better
between	between
bidng	
big	big
bigger	bigger
bilah	blade
bin	bin
biometric	biometrics
biometrika	biometrics
bios	bios
bit	bit
bitlocker	bitlocker
Bitmap	Bitmap
bkomputer	bcomputer
blank	blank
blanks	blanks
blindness	blindness
blinking	blinking
blinkrate	blinkrate
block	block
blocked	blocked
blocker	blocker
BLokasi	BLocation
blu	blue
blue	blue
bluescreen	bluescreen
bluetooth	bluetooth
blurred	blurred
blurry	blurry
blutooth	bluetooth
BMembuat	BMake
bmp	bmp
board	board
bolehkan	allow
boot	boot
bord	board
both	both
box	box
Bpemecahan	@decomposition
brand	brand
briefcase	briefcase
BriefcasetYou	BriefcasetYou
brightness	brightness
bring	bring
british	british
broadband	broadband
broken	broken
brought	brought
browse	browse
browser	browser
browsers	browsers
browsing	browsing
bRuang	bSpace
btampilan	btampili
bubble	bubble
buffer	buffer
bug	bug
bugfixes	bugfixes
bugs	bugs
build	build
built	built
builtin	builtin
bujor	bujor
Buk	Open
buletin	newsletter
Bundangan	Bundangan
burn	burn
burned	burnt
burner	burner
burning	burning
Bursa	Exchange
bus	bus
bUse	bUse
business	business
but	but
butir	details
butons	buttons
button	button
buttons	buttons
bWindows	bWindows
by	by
byte	bytes
bytes	bytes
c	c
cable	cable
cache	cache
cached	cached
cadangkan	suggest
calculate	calculate
Calculating	Calculating
calendar	calendar
calibrate	calibrate
calibration	calibration
calligraphy	calligraphy
calling	calling
calls	calls
camaras	camaras
camera	camera
cameras	cameras
camras	@camras
can	can
can't	can't
can’t	can't
cancel	cancel
canceled	cancelled
Canceling	Canceling
cancelled	cancelled
CAnda	You are joking.
cannot	cannot
cant	beautiful
capabilities	capabilities
capital	capital
capitalize	capitalize
caps	caps
capslock	caps lock
captions	captions
capture	capture
car	car
card	card
cards	cards
Cari	Search Search
CariEItems	FindEItems
carrier	carrier
cartoons	cartoons
cartridge	cartridge
case	case
cause	cause
ccec	ccec
ccf	ccf
cd	cd
CDMA	CDMA
cds	cds
CEIP	CEIP
cell	cell
cellphone	cellphone
center	center
centimeter	centimeter
centimeters	centimeters
centimetres	centimeters
cents	cents
cerdas	smart
certificate	certificate
certificates	certificates
change	change
changed	changed
changedº	changedº
changes	changes
changing	changing
changjie	changjie
channel	channel
character	character
characters	characters
charm	charm
charms	charms
Chat	Chat
check	check
checked	checked
checking	checking
child	child
chinese	Chinese
chip	chip
chkdsk	chkdsk
chm	chm
choose	choose
chooses	chooses
choosing	choosing
chose	chose
city	city
ckckrm	ckckrm
ckeluar	outside
Čkeseimbangan	Èbalance
ckosong	ckosong
ckram	ckram
Cl	Cl
clarity	clarity
Clayar	Clayar
clean	clean
cleandisk	cleandisk
cleaner	cleaner
cleanup	cleanup
clear	clear
cleared	cleared
cleartype	cleartype
click	click
clicking	clicking
clicks	clicks
client	client
Clipboard	Clipboard
clock	clock
cloned	cloned
close	close
Closes	Closes
closing	closing
Clustered	Clustered
cm	cm
cmd	cmd
CMengunci	CLock
cMenyalin	cCopy
code	code
cognitive	cognitive
collaborate	collaborate
Collapse	Collapse
collection	collection
color	color
colorimetric	colorimetric
colors	colors
colour	color
colours	colors
com	com
Combine	Combine
come	come on
command	command
commanding	commanding
commands	commands
Common	Common
communicate	communicate
communication	communication
compact	compact
company	company
compare	compare
comparison	comparison
compass	compass
compatable	compatible
compatibility	compatibility
compatible	compatible
complete	complete
completed	completed
completepc	completepc
completion	completion
components	components
compressed	compressed
Compressed	Compressed Encrypted
compuer	computer
computer	computer
computerNYour	computerNYour
computers	computers
computertYour	computertYour
Computing	Computing
condition	condition
conection	connection
conferencing	conferencing
confg	confg
Config	Config
configuration	configuration
configure	configure
configures	configures
Confirm	Confirm
conflict	conflict
conflictThe	conflict‡The
connect	connect
connected	connected
connection	connection
connections	connections
connectivity	connectivity
connects	connects
conserve	conserve
Console	Console
contact	contact
contain	contain
Container	Container
containing	containing
contains	contains
content	content
contents	contents
continue	continue
continues	continues
contrast	contrast
control	control
controlers	controllers
controller	controller
controllers	controllers
controls	controls
contry	country
Conventional	Conventional
convert	convert
cookie	cookie
cookies	cookies
cooky	cookie
copied	copied
copiedNYour	copiedNYour
copies	copies
copy	copy
copying	copying
coretan	doodle
corner	corner
corners	corners
Corporate	Corporate
CorporationCMemberikan	CorporationCGives
correct	correct
corrective	corrective
corrects	corrects
corrupted	corrupted
cortana	cortana
cost	cost
could	could
couldn't	couldn't
Couldn’t	Couldn't
countries	countries
country	country
Courier	Courier
cover	cover
Coverpages	Coverpages
cpat	quick
cpc	cpc
cpengaturan	csettings
cpu	cpu
cPustaka	cLibrary
crash	crash
crashes	crashes
crashing	crashing
crawl	crawl
create	create
created	created
Creates	Creates
creating	creating
Creation	Creation
credentials	credentials
Critical	Critical
crt	crt
cryptology	cryptology
csrss	csrss
CThe	CThe
cThere	cThere
čtidur	sleep
ċtipografi	typography
Ctrl	Ctrl
Cuntuk	Replying to @serenity
currency	currency
current	current
currently	currently
cursor	cursor
cursors	cursors
Custom	Custom
customisation	customization
customises	customizes
customization	customization
customize	customize
customized	customized
customizes	customizes
customizing	customizing
cut	cut
d	d
da	yes
dabsolute	dabsolute
Dafta	Dafta
dah	already
Dalam'	In'
damage	damage
damaged	damaged
daring	online
daringOSambungkan	onlineOConnect
data	data
database	database
date	date
dater	dater
dates	dates
dating	dating
datum	date
day	day
daylight	daylight
daylite	daylite
days	days
đbaterai	battery
Dbermeter	Dbermeter
ðBila	ðWhen
dButir	Details
Dcant	Dcant
dd	dd
deactivates	deactivates
deaf	deaf
deafness	deafness
Debug	Debug
Debugger	Debugger
decide	decide
decrease	decrease
decrypt	decrypt
Decrypting	Decrypting
deep	deep
default	default
Default	Device Defaults
defaults	defaults
defender	defender
define	define
definisikan	define
definition	definition
defrag	defrag
defragment	defragment
defragmentasi	defragmentation
defragmentation	defragmentation
Defragmenter	Defragmenter
Defragments	Defragment
defualt	default
degrade	degrade
deinstall	uninstall
dekripsi	decryption
dekstops	desktops
dela	
delay	delay
delete	delete
deleted	deleted
deleting	deleting
denied	denied
DeniedKYou	DeniedKYou
DENY	DENY
dependency	dependency
dependentAssembly	dependentAssembly
depth	depth
description	description
designed	designed
desired	desired
desktop	desktop
desktops	desktops
destination	destination
details	details
detecting	detecting
detection	detection
determined	determined
detil	details
dev	dev
device	device
devicemanager	devicemanager
devices	devices
devise	devise
df	df
DFile	DFile
dhcp	dhcp
di	at
diacu	quoted
diagnose	diagnose
diagnosis	diagnosis
diagnostic	diagnostic
diagnostics	diagnostics
dial	dial
Dialer	Dialer
dialing	dialed
dialling	dialed
dialog	dialogue
dialogs	dialogues
dialup	dialup
diam	shut up
diarsipkan	archived
diasosiasikan	associated
dib	
Dibagi	Shared
dibatalkan	cancelled
dibukaMSetelan	openMSteg
dictate	dictate
dictation	dictation
didaur	recycled
didn’t	didn't
diedit	edited
dieja	spelled
diem	shut up
differences	differences
different	different
difficult	difficult
difficulty	difficulty
diformat	formatted
digial	crazy
digit	digit
digital	digital
Digital'Instal	Digital'Install
digunakanºUntuk	used for
diindeks	indexed
diinisialisasi	initialized
diinstal	installed
diketik	typed
Ďiklan	Advertisement
dikompresi	compressed
dikompresi	compressed encrypted
dikonfigurasi	configured
dilisensikan	licensed
dilokalkan	localized
dimaksimalkan	maximized
dimer	dimer
diming	dim
diminimalkan	minimized
dimmer	dimmer
dimming	dimming
dipilih	selected
dipilihMPindahkan	selectedMove
