'tween	在中間
thankless wretch	不知恩情
thatched roof	蓋屋頂的材料
thaumaturge	男巫士
thaumaturgist	男巫士
thaumaturgy	魔術
thawing	融化
the absurd	不合理的
the boot	靴
the great unwashed	多數
the least bit	絲毫
the like	愛好#同樣的人或物
the likes of	愛好#同樣的人或物
the other way around	反之亦然
the pits	地獄
the purple	紫色
the skinny	吸毒者
the three estates	不動產
the true	事實
the whole way	從遠道
theanthropism	擬人觀
theater director	主任
theater prompter	提示臺詞者
theatergoer	愛看戲的人
theatre	劇場
theatre director	主任
theatre of operations	領域
theatregoer	愛看戲的人
theatrical performance	劇場的
theatrical production	演出
theatrical role	個性
theistical	有神論者
then again	另一方面
thenal	手掌
Theobid	茶鹼
Theobroma cacao	可可豆
theodolite	運輸
theological system	神學
theologiser	神學家
theologist	神學家
theologizer	神學家
theoretical account	模型
theorisation	理論的設立及應用
theorise	深思
theoriser	理論家
theorizer	理論家
theory of evolution	進化論
theory of organic evolution	進化論
theory of preformation	預成論
thermal resistor	電熱調節器
thermic fever	中暑
thermionic tube	管
thermionic vacuum tube	管
thermionic valve	管
thermocouple junction	熱電偶
thermodynamical	熱力學的
thermoelectrical	溫差電的
thermometrograph	溫度記錄器
thermonuclear bomb	氫彈
thermonuclear warhead	核彈頭
thermoplastic resin	熱塑性塑膠
thermos flask	熱水瓶
thermoset	熱固的
thick-skulled	厚的
thickened	麻木的
thickhead	吹口哨的人
thickheaded	厚的
thickly settled	人口多的
thieving	盜竊罪
thievishness	竊盜的
thigh-slapper	咆哮者
thin-leaved bilberry	越橘
thin-skinned	怒沖沖的
thin out	稀釋
thin person	骨瘦如柴
thingmabob	便宜貨
thingmajig	便宜貨
thingumabob	便宜貨
thingumajig	便宜貨
thingummy	便宜貨
think about	娛樂
think back	記得
think factory	智囊團
thinned	傷口
thinning	切斷
third-year	年少者
third base	第三人
third class	二等艙
third cranial nerve	動眼神經
third deck	下甲板
third gear	第三人
third house	大廳
third power	立方體
third stomach	重瓣胃
third tonsil	腺狀腫
thirstiness	乾旱
thirty-second note	三十二分音符
this evening	今晚
this night	今晚
Thlaspi arvense	發出臭味的植物
thole	釘
Thorazine	一種鎮靜劑
thorium-228	放射性釷
thorniness	苦味
thornless	無脊椎的
thought-provoking	引起興趣的
thought-reader	研究傳心術者
thought process	思考
thrash about	使震動
thrashing	崩潰
thread maker	紡紗工人
threader	刺針
threadlike	絲狀的
three-bagger	使成三倍
three-base hit	使成三倍
three-card monte	西班牙的紙牌賭博遊戲
three-day measles	德國麻疹
three-decker	總會三明治
three-dimensional	立方體的
three-fold	使增為三倍
three-lobed	三裂的
three-party	三重的
three-sided	有三邊的
three-way	三重的
three hundred	民間護林保土隊
three times	三倍的
threepenny	六便士的
thresh about	使震動
thresher shark	打穀者
thriftiness	經濟
thriftlessly	不節約的
thriftlessness	廢物
thriving	繁茂的
throbbing	跳動
thrombokinase	凝血質
throstle	畫眉鳥類
throttle valve	加速裝置
throttler	絞殺者
throttling	勒殺
through an experiment	實驗地
through empirical observation	憑經驗地
through with	完成了的
throw a fit	使充氣
throw out of kilter	擾亂
throw overboard	沒收物
throw rug	小塊地毯
throw stick	回飛棒
throw together	爬行
throwing away	墊牌
throwing stick	回飛棒
thrown-away	廣告傳單
throwster	投擲者
thrust ahead	駁船
thrust out	強迫
thrusting	猛戳
thudding	使遲鈍
thunder lizard	雷龍
thunder mug	嬰兒的便盆
thundery	震耳欲聾的
Thunnus alalunga	青花魚科的海產魚
thurible	香爐
thurify	香
thusly	如此
thwarted	失望的
thwarter	蓄意阻撓者
thwarting	挫敗
thwartwise	十字架
thyme camphor	百里香酚
thymic acid	百里香酚
thymus gland	胸腺
thyrocalcitonin	降血鈣素
thyroidal	甲狀腺
thyromegaly	甲狀腺腫
Ti	鈦
tibia vara	內彎腿
tic-tac-toe	井字遊戲
tical	銖
tick off	檢查
tick over	無所事事
ticket booth	售票室
ticket stub	殘端
ticket tout	兜售者
ticking bomb	定時炸彈
tickle pink	使高興
tickler file	呵癢的人
tickling	搔
ticktack	滴答聲
ticktacktoe	井字遊戲
ticktacktoo	井字遊戲
tictac	滴答聲
tidal bore	孔
tiddler	孩子
tiddly	嬰兒的便盆
tide over	繼往開來
tide rip	裂口
tidy sum	一爐
tidy up	椅子的背罩
tie-in	環
tie-up	加入
tie beam	領帶
tie in	夥伴
tier up	一排
tierce	三
tiffin	午餐
tight-fitting	皮的
tight-laced	一本正經的
tight fitting	皮的
tighten up	使堅硬
tightfistedness	卑賤
tightfitting	皮的
tightlipped	結束
tightly fitting	皮的
tigon	虎獅
tike	農夫
til now	到目前為止
Tilia heterophylla	三葉楊
tilled land	農田
Tilletia caries	抵撞
Tilletia foetida	抵撞
tilted	傾斜地
tilting board	蹺蹺板
timbale case	夾心烤肉餅
timber line	樹帶界線
time-honoured	受到尊重的
time-tested	經過試驗的
time and time again	一再地
time being	目前
time deposit account	存款帳戶
time immemorial	很久以前
time interval	間隔
time lag	耽擱
time of day	小時
time of origin	製造年期
time of year	季
time period	時期
time plan	分期付款購物法
time slot	狹長孔
time to come	未來
time value	價值
timeless existence	永遠
times	乘法
tin can	罐頭
tin foil	鋁箔
tin whistle	口哨
tinamou	鷓鴣
tinct	色彩
tincture of iodine	碘
tincture of opium	鴉片酒
tinea pedis	香港腳
ting	清脆的金屬音
tingling	刺痛
tininess	仔細
tink	清脆的金屬音
tinker's dam	詛咒
tinker's damn	詛咒
tinkerer	小提琴手
tinned	罐裝的
tinner	洋鐵匠
tintometer	色度計
tip-and-run	打了就跑的
tip over	推翻
tip truck	自動傾卸卡車
tipi	印第安人的圓錐形帳篷
tipped	傾斜地
tipper lorry	自動傾卸卡車
tipper truck	自動傾卸卡車
tippy	曲柄
tippytoe	腳尖
tired of	厭惡的
tiredly	疲倦地
tirelessness	不疲勞
tiresomeness	乏味
tiro	新手
tissue layer	薄膜
tit-tat-toe	井字遊戲
titbit	趣聞
titillating	性愛的
titlark	鷚屬鳴禽
title-holder	冠軍
title of respect	頭銜
titled	出身名門的
tittle-tattle	閒談
tittup	大搖大擺
titty	乳房
titulary	有名無實的
Tl	鉈
TNT	三硝基甲苯
to a fault	過度地
to a greater extent	更多
to a higher place	上文的
to a lesser extent	較少
to a lower place	在下面
to a T	嚴格按照字句
to be precise	嚴格來說
to boot	附加地
to both ears	有兩耳的
to each one	每個
to it	另外
to no degree	毫不
to one ear	單耳的
to perfection	嚴格按照字句
to that	另外
to that degree	在...的範圍
to that extent	在...的範圍
to the highest degree	最多
to the lowest degree	最少
to the south	南部
toad frog	蛙
toadyish	諂媚的
tobacco pipe	管
tobacco plant	煙草
tobacco shop	煙草商
tobacco user	吸煙者
tobacconist shop	煙草商
toboggan cap	絨線帽
tocktact	滴答聲
toe dancing	足尖舞
tog out	穿著過分講究
tog up	穿著過分講究
together with	共同地
togged up	穿好衣服的
toggle switch	繩針
toilet articles	化妝品
toilet facility	方便
toilet table	化妝台
toilet tissue	廁紙
toiling	勞動
tokenish	名義上的
tolbooth	收費站
toll agent	鳴鐘者
toll collector	鳴鐘者
toll taker	鳴鐘者
tollbar	徵收通行稅的關卡
tollgatherer	鳴鐘者
tollkeeper	鳴鐘者
tollman	鳴鐘者
tom	雄貓
Tom Collins	柯林斯
tom turkey	公火雞
tomato ketchup	果醬
tomato plant	番茄
tomentum cerebri	絨毛
tomfool	愚人
tonal pattern	曲子
tone-beginning	攻擊
tone arm	拾得品
tone ending	釋放
tone of voice	音調
tone up	音調
tongue-in-cheek	滑稽的
tongue-lashing	責罵
tongue tie	舌黏連
tonic water	補藥
tonnage duty	噸位
tonne	英語字母的第二十個字母
tons	大量
tonsilla	扁桃腺
tonsilla adenoidea	腺狀腫
tonsilla pharyngealis	腺狀腫
tontine insurance	唐提式養老金法
too-careful	過分謹慎的
too-generous	浪費
too bad	可歎的
too big for one's breeches	自大的
too large	太大的
too soon	早的
tool around	駕車兜風
tool cabinet	工具箱
tool case	工具箱
tool chest	工具箱
toon	諷刺畫
tooshie	臀部
tooth decay	洞
tooth doctor	牙科醫生
tooth enamel	琺瑯
tooth socket	齒槽
toothed wheel	輪盤賭
toothsomeness	美味
top-flight	除頂部
top-hole	除頂部
top banana	中央球瓶
top boot	高統靴
top dog	頭
top executive	男爵
top of the inning	頂部
top off	頂部
top side	頂部
topical anaesthetic	局部麻醉劑
topical anesthetic	局部麻醉劑
topknotted	有頂飾的
topographic anatomy	地誌學
topographic point	地方
topper	最好
toppingly	精彩地
tops	發球得分
topsy-turvily	完全地
topsy-turvy	無秩序的
topsy-turvydom	混亂
topsy-turvyness	混亂
tore	花托
tormented	痛苦的
tormenter	使苦痛之人
toroid	花托
torpidness	倦怠
tortuousness	扭轉
tortured	痛苦的
torturesome	令人苦悶的
torturing	折磨
torturously	使人煩惱地
tosh	胡扯
toss-up	擲錢幣
toss away	墊牌
toss out	墊牌
tot up	總數
total darkness	黑
totalise	使成為整體
totaliser	賭金計算器
totalism	專制政治
totalistic	極權主義者
tote bag	單馬馬車
tote up	總數
toter	運送者
totipotence	全能性
totterer	搖晃者
tottering	蹣跚的
touch base	連接
touch modality	觸
touch off	旅行
touch perception	觸知性
touch sensation	觸
touch up	潤飾
touched	受到影響的
touchscreen	觸摸式螢幕
touchwood	點火
tough-minded	不感情用事的
tough luck	不幸
toughened	粗暴的人
toughie	風帽
toupe	男子假髮
tour of duty	徵募
touring car	雙頭四輪輕型馬車
tourist court	法院
touristry	旅遊
tousled	頭髮凌亂的
tout ensemble	全體
touter	兜售者
tow car	使船失事的人
tow truck	使船失事的人
towing path	拉船路
town crier	喊叫者
towner	鎮民
toxaemia of pregnancy	毒血症
toxemia of pregnancy	毒血症
toxic condition	中毒
toxic industrial waste	有毒的工業廢物
toxicologic	毒物學的
toy dog	玩具
toy with	娛樂
toying	賣弄風騷的人
Trachinotus falcatus	通行證
track record	記錄
trackable	可追蹤的
tracklayer	鐵路工人
tractableness	溫順
tractile	易延展的
tractor trailer	裝備
trade-off	交易
trade balance	貿易的差額
trade embargo	封港令
trade gap	貿易的差額
trade good	日用品
trade protection	保護
trade route	海上航道
trade stoppage	封港令
trade union movement	勞工運動
trade unionism	工會主義
trade wind	貿易
trades union	聯盟
trading floor	地板
traditional knowledge	全部知識
traditionality	傳統主義
traffic pattern	花樣
traffic signal	交通指揮燈
trafficator	貶眼睛的人
Tragelaphus eurycerus	非洲產大羚羊#一種用手指敲的小鼓
tragic flaw	判斷錯誤
tragicomical	悲喜劇的
trail bike	爬行者
trailer truck	裝備
trailing arbutus	五月花號
train depot	火車站
train dispatcher	調車場場長
train oil	鯨油
train station	火車站
traitorousness	叛逆
tramcar	有軌電車
tramline	電車軌道
trammel net	拘束
tramp down	踩踏
tramp steamer	沈重的腳步聲
tramper	列印的人
trampler	列印的人
trampling	踩踏
tranquilising	鎮靜的
tranquilizing	鎮靜的
tranquillise	平穩
tranquilliser	鎮定劑
tranquillising	鎮靜的
tranquillize	平穩
tranquillizing	鎮靜的
transactions	訴訟
transcendental philosophy	先驗說
transcribed	罐裝的
transcriber	譯者
transdermal	經皮的
transdermic	經皮的
transeunt	暫態
transexual	變性者
transfer of training	遷移
transferer	遷移者
transferrable	可動的
transferral	運輸
transfixed	著迷的
transformable	有活動篷的汽車
transfuse	杯子
transgendered	變性者
transitionally	變遷的
transitive verb form	及物動詞
transitiveness	動詞的及物性
translating program	譯者
transmigrate	使化身
transmission channel	水道
transmission density	吸光率
transmission line	電纜
transmission system	傳輸
transmittable	易傳染的
transmitted	家族的
transmitting	傳輸
transmitting aerial	觸鬚
transmogrify	使變形
transom window	橫檔
transparence	透明
transparentness	透明
transpirate	使蒸發
transplanting	移植
transportation system	運輸
transposed	談話
transubstantiate	轉換
transudate	滲透
transversal	十字架
transversally	橫向地
transverse flute	長笛
transvestic	異性裝扮癖者
transvestitism	異裝狂
trap play	捕鼠機
Trapa bicornis	鱈
trapezium bone	不規則四邊形
trapezius muscle	斜方肌
trapezoid bone	不規則四邊形
trapped	處於絕境
trapping	馬衣
trash barrel	垃圾桶
trash bin	垃圾桶
trash dump	垃圾場
trashiness	劣質
traumatise	使受損傷
trave	橫過
travel along	跟隨
travel and entertainment account	費用賬戶
travel by	經過
travel guidebook	旅程
travel plan	旅程
travel rapidly	迅速
travel to	拜訪
travelable	能橫越的
traveling	旅行
traveling bag	袋子
traveling salesman	旅行推銷員
travelling	旅行
travelog	旅行見聞講演
traversal	橫過
trawl line	拖網
trawl net	拖網
tread-wheel	踏車
tread down	踩踏
treadwheel	踏車
treasonably	不忠實地
treasonist	叛徒
treasure trove	被發現的東西
treasured	寶貴的
treasurer's check	銀行開出的支票
treasurer's cheque	銀行開出的支票
treated	調節的
treater	磋商者
treble recorder	六孔的木簫
trebuchet	石弩
trebucket	石弩
tree-frog	樹蛙
tree-living	樹木的
tree-shaped	樹木的
tree branch	肢
tree creeper	爬行者
tree diagram	樹
tree farmer	林務員
tree heath	荊棘#用石南根製成之煙斗
tree line	樹帶界線
tree sloth	怠惰
tree stump	樹樁
tree toad	樹蛙
treelike	樹木的
treillage	格架
trematode worm	錨爪#僥倖#比目魚
trembling	搖動
trench mortar	臼
trepid	恐怕
trepidly	容易受驚地
trespassing	侵入的
trey	三
tri-iodomethane	三碘甲烷
trial by ordeal	嚴酷的考驗
trial impression	證據
trial run	試驗
triangular bandage	投石器
tribal chief	隊長
tribal sheik	家長
tribal sheikh	家長
tribromoethyl alcohol	三溴乙醇
tribromomethane	三溴甲烷
trice up	吊起
tricentenary	三百週年
Trichechus manatus	海牛
Trichinella spiralis	旋毛蟲
trichiniasis	旋毛蟲病
trichloroethane	三氯乙烯
trichloromethane	氯仿
trichobezoar	毛團
trick out	穿著過分講究
trick up	穿著過分講究
tricksy	狡詐的
tricolour	三色旗
tricorne	有三個角的
tricuspidate	三尖的
tried and true	經過試驗的
trifle away	蕩婦
trifoliated	三葉的
trifoliolate	三葉的
Trifolium dubium	酢漿草
Trifolium repens	酢漿草
trigeminal nerve	三叉神經的
trigeminus	三叉神經的
trigger off	旅行
Trigonella foenumgraecum	胡蘆巴
trigonum cerebrale	穹窿
triiodomethane	三碘甲烷
trike	三輪車
Trilby	淺頂軟呢男帽
trilled	輾軋過的
trilobated	三裂的
trilobed	三裂的
trim back	減少
trim down	減少
trimmed	傷口
trimmer joist	整理者
trimming capacitor	整理者
trimmings	配料
trine	三
trinitroglycerin	硝化甘油
triolein	油酸
trip-up	旅行
trip out	旅行
trip the light fantastic	跳舞
trip the light fantastic toe	跳舞
trip up	捕捉
triple-decker	總會三明治
triplicity	三角形
Triplochiton scleroxcylon	森巴舞曲
trisomy 21	蒙古症
Triticum aestivum spelta	斯佩爾特小麥
Triticum durum	硬質小麥
Triticum spelta	斯佩爾特小麥
Triticum turgidum	硬質小麥
Triton	蠑螈
trochlear nerve	滑車神經的
trochlearis	滑車神經的
troller	釣魚者
trolling	以宏亮聲音唱
trombone player	長號手
troops	軍人
tropical sprue	注入口
tropical year	太陽年
tropicbird	熱帶海鳥
trotline	拖網
trotting horse	快步跑的馬
trouble-shoot	檢修
trouble maker	惹麻煩的人
trouble oneself	煩惱
trouble shooter	紛爭解決者
trouble spot	麻煩地點
troubler	惹麻煩的人
troublesomeness	不便
troubling	使人痛苦的
trouncing	崩潰
troy ounce	盎司
troy weight	特洛伊
truck driver	趕一群牲畜者
trucking rig	裝備
truckle	有腳輪的矮床
truckle bed	有腳輪的矮床
truckler	拍馬屁
truckling	使...卑下
trudger	沈重行走的人
true-to-life	逼真的
true bacteria	真細菌
true cat	貓
true cedar	西洋杉
true fir	樅樹
true flycatcher	捕蠅器
true guava	番石榴
true laurel	海灣#隔間
true pine	松樹
true puffball	塵菌
true slime mold	黏液菌
true sparrow	麻雀
true statement	事實
true up	真實
true vampire bat	吸血蝙蝠
truehearted	商號
truelove	心上人
trump out	王牌
trumpeter swan	喇叭手
trumping	襞襟
trunk road	公路
trunk route	幹線
trunks	寬鬆運動短褲
trussed	出租給雇工居住的
trust corporation	信託公司
trust territory	託管人的地位
trusted	確信的
truster	信徒
trustiness	可信賴
trusting	相信的
trustingly	深信不疑地
trustingness	信任
trustor	財產授與者
try-on	試穿
try for	抨擊
trying on	試穿
tsarist	俄國帝制的
tsaristic	俄國帝制的
tsaritsa	沙皇皇后
tsine	減肥療法
tube-nosed bat	鳥身女妖
tube-nosed fruit bat	鳥身女妖
tube-shaped	管狀的
tube-shaped structure	管
tubeless tire	無內胎的
tubelike	管狀的
tubful	桶
tubocurarine	箭毒馬鞍子
tucker out	排氣
tucket	茂盛
tuff	泉華
tuffet	腳凳
tugger	拉者
tuition fee	講授
tularaemia	兔熱病
tulip gentian	藍鐘花
tum	胃
tumbler pigeon	滾動的人
tumbling	雜技
tumbril	兩輪運貨車
tumesce	鼓起
tumidness	腫大
tumour	腫
tump over	推翻
tumultuous disturbance	爆發
tumultuously	騷動地
tumultuousness	吵鬧
tumulus	墳
tuna fish	鮪
tune-up	預演
tune up	曲調
tung-oil tree	桐樹
tung tree	桐樹
Tunga penetrans	跳蚤的一種
tunica	束腰外衣
Tunisian dinar	第納爾
tunnage	噸位
tup	公羊
tuppeny	六便士的
turbinal	螺旋形介殼
turbinate bone	螺旋形介殼
turbo-propeller plane	渦輪噴射機
turbofan engine	渦輪風扇引擎
turbojet engine	渦輪風扇引擎
turbulently	狂暴的
turd	拉屎
Turdus merula	山鳥類
Turdus migratorius	知更鳥
Turdus philomelos	畫眉鳥類
Turdus pilaris	雀科小鳥
turf out	逐出
turkey buzzard	禿鷹類
turkey vulture	禿鷹類
Turkish boxwood	黃楊木材
Turkish lira	里拉
turn a loss	遺失
turn a profit	利潤
turn around	翻轉
turn down	廢物
turn in	交出
turn indicator	貶眼睛的人
turn of events	轉動
turn off	傷口
turn one's stomach	使患病
turn signal	貶眼睛的人
turn tail	趕快走開
turn thumbs down	否決
turn turtle	使傾覆
turnaround time	歸航
turncock	水龍頭
turned	離去的
turning away	逃避
turnip cabbage	黃色蔓菁的一種
turnover rate	翻倒
turnround	歸航
turps	松脂
tutorially	個別指導
tv camera	照相機
TV channel	水道
tv set	電視
twain	對
twat	愚鈍者
twee	矯飾的
tweediness	粗
tweedle	喳喳聲
tweezer	鉗子
twelfth cranial nerve	舌下的
twelfth part	第十二
twelve noon	正午
twenty-five percent	第四
twenty-four hour period	天
twenty-four hours	天
twenty-one	皮製大酒杯
twenty dollar bill	二十
twenty percent	第五
twice-baked bread	特製加蛋烤麵包片
twiddler	小提琴手
twiglike	多細枝的
twilit	微暗的
twill weave	斜紋織物
twin bill	雙車頭火車
twinkly	微笑的
twinned	副本
twinning	產雙胎的
twirp	無用之人
twist around	扭
twisting	扭曲
twisty	迂回曲折的
twitching	急扯
two-a-penny	六便士的
two-bagger	兩倍
two-base hit	兩倍
two-baser	兩倍
two-chambered	兩院制的
two-channel	立體音響的
two-dimensionality	平坦
two-faced	兩手俱利的
two-fold	兩倍
two-footed	兩足動物的
two-handed saw	狹邊鉤齒粗木鋸
two-man saw	狹邊鉤齒粗木鋸
two-part	兩個民族的
two-piece suit	兩件一套的
two-seater	敞篷小客車
two-sided	可反轉的
two-timer	背叛者
two-timing	通姦的
two-way	兩党連立的
two-year	二年生植物
two hundred	立方公分
two times	兩倍的
two weeks	兩星期
twopenny	六便士的
twopenny-halfpenny	六便士的
twoscore	四十
tying	帶子
tying up	入塢
tympan	鼓
tympanic cavity	鼓膜
tympanist	定音鼓手
type I allergic reaction	遺傳性過敏症
type slug	強擊
typesetter's case	箱
typewrite	類型
typewriter ribbon	緞帶
typewriting	打字
Typha latifolia	蘆葦
typhus fever	斑疹傷寒症
typic	象徵的
typographical error	印刷錯誤
tyrannise	施行暴政
tyrannosaurus	霸王龍
Tyrannosaurus rex	霸王龍
tyrant bird	捕蠅器
tyrant flycatcher	捕蠅器
Tyto alba	梟鳥
tzarist	俄國帝制的
tzetze	舌蠅
tzetze fly	舌蠅
U-boat	潛艇
u-drive	租用汽車
Ubermensch	半神半人
ubiquitousness	到處存在
udometer	雨量計
Ugandan shilling	先令
ugli	橘欒果
ugli fruit	橘欒果
ulcerated	潰瘍的
Ulex europaeus	金雀花
ult	上月的
ultramarine blue	深藍色
ultranationalism	盲目的愛國心
ultranationalistic	盲目愛國的
ultrasonography	超頻率音響
ultraviolet illumination	紫外線的
ultraviolet light	紫外線的
ultraviolet radiation	紫外線的
umbel-like	傘狀花的
umbellar	傘狀花的
umptieth	第無數次的
umteen	無數的
umteenth	第無數次的
unabridged dictionary	未經刪節的
unachievable	難到達的
unachievably	難到達的
unacquainted with	不知道的
unaffectionate	超然的
unaffixed	釋放
unagitated	平穩
unalterability	固定
unalterably	永遠不變地
unambitiously	無名利心的
unannealed	脆的
unappareled	裸體的
unappealingly	無吸引力的
unappetising	引不起食慾的
unappreciatively	忘恩負義地
unarm	解除武裝
unarmoured	非裝甲的
unarticulate	口齒不清的
unashamedly	厚著臉皮地
unasked-for	未被懇求的
unassailably	永遠不變地
unassertively	不武斷的
unassumingly	謙遜的
unassumingness	誠摯
unattackable	可以受孕的
unattainably	難到達的
unattired	裸體的
unauthorised	未被授權的
unavoidable casualty	優勢
unbaptised	未受洗禮的
unbarred	拔去了門閂的
unbecomingly	不適當地
unbeknownst	未知的
unbelievingly	不相信地
unbendable	商號
unbent	直線
unbiassed	漠不關心的
unbloody	非暴力的
unboundedness	無限
unbrace	解開
uncalled-for	免費的
uncase	使脫衣服
uncategorised	未分類的
uncategorized	未分類的
uncaused	無緣無故的
unceremonial	不拘儀式的
uncertainness	不確定
unchained	被除去腳鐐的
unchangeably	永遠不變地
unchewable	纖維的
unchurch	逐出教會
unciform bone	鉤狀的
uncivilised	粗魯無禮的人
unclothe	使脫衣服
uncloudedness	明亮
unclutter	澄清
unco	顯著地
uncoerced	非被強迫的
uncoiled	直線
uncollectible	壞的東西或情形
uncoloured	不著色的
uncomely	下流的
uncomparable	無比的
uncomparably	無比地
uncomplete	不完全的
uncomprehensible	不能理解的
uncompress	使解除壓力
unconditioned reflex	反射
unconformist	非國教徒
unconscious mind	不省人事
unconscious process	過程
unconsecrated	褻瀆
unconsolable	無法安慰的
unconstipated	正規軍
unconstitutionally	不合憲法規定的
unconstraint	放縱
uncontaminating	打掃
uncontrived	非嬌揉造作的
unconventionally	非傳統的
uncorrectable	無法控制的
uncouthly	笨拙的
uncouthness	粗野
uncovered	暴露的
uncovering	剝光
uncrystallised	未結晶的
unctuousness	油質
uncurbed	放肆的
undecipherably	難讀地
undecomposed	不腐敗的
undefinable	不能下定義的
undemocratically	非民主的
undependability	不可靠
undependableness	不可靠
undependably	不忠實地
under attack	受攻擊
underbodice	女背心
underbody	下腹部
underclass	下層社會
undercover agent	間諜
underframe	骨骼
undergrad	大學生
underhandedly	祕密的
underhung	裝於車軸之彈簧上的
underperform	學習成績不良
underperformer	成績低於應有水準的學生
underrating	低估
underreckoning	低估
underseal	大衣內的上衣
undershot	裝於車軸之彈簧上的
undersoil	底土
understated	不誇耀的
understructure	基礎
undertide	下面的水流
underwater diver	潛水者
underwood	矮樹叢
undeservedly	無功受祿的
undesired	未追求的
undestroyable	持久的
undeterminable	不能決定的
undiplomatically	無外交手腕的
undiscouraged	不阻止的
undisputedly	不可論證地
undoable	難到達的
undoer	開啟者
undogmatic	不拘泥於教義及形式的人
undogmatical	不拘泥於教義及形式的人
undramatically	缺乏戲劇性的
undreamed of	夢想不到的
undreamt of	夢想不到的
undressed	裸體的
undynamic	無力的
unearned revenue	非勞動所得
unease	不舒服
uneducated person	不學無術的人
uneffective	無效的
unelaborated	寫生的
unembarrassed	不臉紅的
unembodied	無體的
unemotional person	禁慾主義者
unemotionality	無知覺
unemployed people	失業的
unendingly	不斷地
unenergetic	昏睡的
unenergetically	昏睡的
unenlightening	不光彩的
unequal to	無能力的
unerasable	不能消除的
unexceeded	未被凌駕的
unexcelled	未被凌駕的
unexchangeable	不能交換的
unexcitingly	不令人興奮激動的
unexclusive	無限制的
unexpressible	無法形容的
unfalteringly	決然地
unfamiliar with	不知道的
unfashionably	不流行的
unfastened	公開
unfastener	開啟者
unfastening	解開
unfavorable judgment	批評
unfavorable position	劣勢
unfavourable	不宜的
unfavourably	不利地
unfeelingness	麻木不仁
unfeignedly	真誠地
unfertilised	未施肥的
unfirm	不安定的
unfitting	不適當的
unfixed	星雲的
unflawed	無瑕疵的
unfluctuating	商號
unflurried	未受到攪亂的
unflustered	未受到攪亂的
unfolding	開花
unforesightful	短片
unforfeitable	不能讓與的
unforgettably	值得紀念的
unforgivingly	不可寬恕的
unfortunate person	不幸的人
unfrock	剝去法衣
ungallant	缺乏教養的
ungarbed	裸體的
ungarmented	裸體的
unglamorous	常事
unglamourous	常事
ungoverned	放肆的
ungrammatically	不合文法的
ungrateful person	不知恩情
ungratified	得不到休息的
ungratifying	不感謝的
unguaranteed	無擔保的
unguiculate mammal	有爪的
unguiculated	有爪的
ungulated	蹄狀的
unhallow	供俗用
unharmoniously	不一致地
unhearable	聽不見的
unhearing	完全耳聾的
unhinged	神精錯亂的
unhoped-for	預料之外的
unhopeful	可憐的
unhorse	下車
unhurriedness	緩慢
unhygienically	不衛生的
unidimensional	沒有深度的
unified	合併
uniformness	同樣
unifying	向心性的
unilateral paralysis	半身麻痹
unimaginatively	無想像力地
unimagined	夢想不到的
unimpregnated	未施肥的
unimpressively	不令人信服的
unimprisoned	無限制的
uninfected	打掃
uninflected	解析的
uninformatively	不提供信息的
uninitiate	未被接納入會的
uninstructively	不提供信息的
unintegrated	種族隔離的
unintelligently	缺乏才智的
unintelligibility	不連貫
uninterestingly	無興趣的
unintimidated	不閃爍的
uninvolved	超然的
union member	工會會員
unionisation	工會化
unionise	統一
unionised	有組織的
unionized	有組織的
uniovulate	單卵的
unironed	有皺紋的
unit of ammunition	一輪
unit of measurement	單位
unitard	緊身連衣褲
uniting	融合
universal joint	一般概念
Universal Product Code	電腦條碼
universal proposition	一般概念
universalistic	信普救說者
universe of discourse	宇宙
unjustness	不公平
unkemptness	馬虎
unkeyed	無調性的
unkind person	小氣鬼
unknot	闡明
unknowingness	無知
unknowledgeable	無知識的
unknown quantity	未知的東西
unknown region	未知的東西
unlabeled	沒有標簽的
unlaced	解開鈕扣的
unlade	擺脫...之負擔
unlatched	拔去了門閂的
unlax	使鬆弛
unlicenced	未經授權的
unlikable	不表同情的
unlikeable	不表同情的
unlittered	整齊的
unliveable	不適於居住的
unlogical	不合邏輯的
unmanageableness	反抗
unmanful	無男子氣概的
unmanfully	無男子氣概的
unmanlike	無男子氣概的
unmannered	粗魯無禮的
unmapped	海圖上未標明的
unmarried man	單身男子
unmasking	使暴露
unmatchable	無敵的
unmated	奇數的
unmelodic	不悅耳的
unmelodiously	不悅耳的
unmindfulness	不注意
unmixable	不能混合的
unmovable	固定的
unmusically	非音樂的
unmutilated	無瑕疵的
unnerving	強大的
unnoticeably	察覺不到地
unnumberable	數不盡的
unnumerable	數不盡的
unobjective	無法證實的
unopen	關上
unordered	混亂的
unorganised	未加入組織的
unoriginally	非獨創的
unornamented	平原
unorthodoxy	非正統
unpaid worker	志願者
unpardonably	無法辯解地
unpassable	不能通行的
unpatriotically	不愛國的
unpatterned	平原
unperceivable	不能感知的
unperceiving	無識別力的
unplayful	嚴肅的
unpleasant-smelling	有惡臭的
unpledged	無約定的
unploughed	完整的
unplowed	完整的
unpractised	練習不足的
unprecedentedly	空前的
unpredictability	變化無常
unpredictably	不規律地
unpredicted	未經宣佈的
unpretentiously	不驕傲的
unproblematic	初步的
unprocurable	難接近的
unprogressive	舊式的
unpromised	無約定的
unpropitiously	不祥地
unprotectedness	無防禦
unraised	沒放酵粉的
unranked	陡峭的
unreached	不易接近的
unreadably	難讀地
unrealised	未完成的
unrealism	抽象派
