a	累加器
seduction	教唆
seductive	誘惑的
sedulous	勤勉的
sedum	景天
see	看見
see-through	透明的
seed	種子
seed capital	原始資本
seed pearl	小顆珍珠
seedbed	苗床
seeder	播種者
seedless	無核的
seedling	秧苗
seedsman	播種者
seedy	多種子的
seeing	視覺
seek	尋求
seek time	尋道時間
seel	縫起來
seem	象是
seeming	表面上的
seemingly	看來似乎
seemly	適當的
seen	的過去分詞
seep	滲出
seepage	滲漏
seer	預言者
seethe	冒泡
segment	片段
segmental	部分的
segregate	分離的
segregation	隔離
Seidlitz powder	賽德利茨粉
seigneur	領主
seigniorage	領主特權
seigniory	領主權
seine	曳網
seismic	地震的
seismogram	震波圖
seismograph	地震儀
seismology	地震學
seismometer	地震檢波器
seize	抓住
seizing	抓
seizure	捕獲
selachian	板鰓類魚
seldom	不常的
select	挑選出來的
select committee	特別委員會
selectee	征召員
selection	選擇
selection rule	選擇定則
selective	選擇的
selectivity	選擇性
selector	選擇者
selenate	硒酸鹽
Selene	月形
selenic acid	硒酸
selenite	透明石膏
selenium	硒
selenium cell	硒光電池
seleno-	硒基
selenodont	月牙型
selenography	月面學
selenology	月球學
self	自己
self-	自我
self-abasement	自卑
self-abnegation	自我犧牲
self-absorption	自我專注
self-abuse	自責
self-accusation	自我責備
self-acting	自動的
self-adjusting	自動調節的
self-advancement	自我發展
self-affirmation	自我肯定
self-aggrandizement	自我擴張
self-aligning	自動對準
self-appointed	自己任命的
self-approval	自我贊許
self-assertion	自作主張
self-assurance	自信
self-assured	有自信的
self-awareness	自我意識
self-betrayal	自我暴露
self-centred	自我中心的
self-coloured	單色的
self-command	自制
self-compatible	自交親和的
self-conceit	自負
self-confessed	自認的
self-confidence	自信
self-confident	自信的
self-conscious	自覺的
self-consistent	首尾一致的
self-contained	沉默寡言的
self-contempt	自我輕視
self-contradiction	自相矛盾
self-control	克己
self-correcting	自動調整的
self-critical	自己批評的
self-deceiving	自欺的
self-deception	自欺
self-defence	自衛
self-denial	克己
self-dependence	自力更生
self-determination	自主
self-devotion	獻身
self-diffusion	自我擴散
self-discipline	自我訓練
self-doubt	缺少自信
self-educated	自修的
self-effacing	不出風頭的
self-employed	自己經營的
self-esteem	自尊
self-evident	不言自明的
self-examination	反省
self-executing	自動生效的
self-existent	自存的
self-explanatory	自明的
self-expression	自我表現
self-faced	未琢磨的
self-feeder	自動給料器
self-fertile	自育的
self-fertilization	自花受精
self-financing	自我集資
self-forgetful	忘我的
self-fulfilment	自我實現
self-generating	自生的
self-glorification	自命不凡
self-governing	自治的
self-government	自治
self-guided	自導的
self-help	自助
self-identity	同一性
self-image	自我形象
self-immolation	自我犧牲
self-importance	自尊
self-imposed	自願接受的
self-improvement	自我改善
self-induced	自誘導的
self-inductance	自身電感
self-indulgence	放縱
self-indulgent	放縱的
self-inflicted	加于自身的
self-insurance	自保
self-interest	利己主義
self-interested	利己主義的
self-knowledge	自知之明
self-liquidating	自動清償的
self-loading	自行裝填的
self-locking	自動上鎖的
self-love	自愛
self-made	自制的
self-mastery	自制
self-motion	自動
self-murder	自殺
self-mutilation	自殘
self-opinionated	自負的
self-pity	自憐
self-pollination	自花授粉
self-portrait	自畫像
self-possessed	鎮靜的
self-possession	沉著
self-praise	自贊
self-preservation	自我保存
self-proclaimed	自稱的
self-propelled	自力推進的
self-protection	自衛
self-realization	自我實現
self-reflection	反省
self-regard	自愛
self-regulating	自動調節的
self-reliance	依靠自己
self-reliant	獨斷獨行的
self-renunciation	自我犧牲
self-reproach	自責
self-respect	自尊
self-respecting	有自尊心的
self-restraint	自制
self-revealing	表露真情的
self-righteous	自以為是的
self-rule	自治
self-sacrifice	自我犧牲
self-satisfaction	自滿
self-satisfied	自鳴得意的
self-sealing	自動密封的
self-seeking	追逐私利
self-selection	自己挑選
self-service	自我服務
self-serving	自私的
self-slaughter	自殺
self-sow	天然播種
self-sterile	自體不育的
self-styled	自稱的
self-sufficiency	自足
self-sufficient	自給自足的
self-suggestion	自我暗示
self-supporting	自承的
self-surrender	自甘屈從
self-sustaining	自立的
self-taught	自修的
self-timer	自拍裝置
self-torture	自我折磨
self-willed	任性的
self-worth	自尊
selfhood	自我
selfish	自私的
selfishness	自我中心
selfless	不顧自己的
selfness	自私
selfsame	完全相同的
sell	賣
sell-off	跌價
sell-out	客滿的演出
sella	鞍
seller	銷售者
Sellotape	透明膠帶
selvedge	織邊
selves	自己
sem.	種子
semanteme	義素
semantic	語義的
semaphore	信號
semasiology	語義學
semblable	相似的
semblance	外表
semen	精液
semester	學期
semi	半
semi-	半
semi-automatic	半自動的
semi-finished	半光制
semi-infinite	半無窮的
semi-invalid	半病廢者
semi-official	半官方的
semi-solid	半固體的
semi-trailer	掛車
semi-transparent	計透明的
semiaquatic	半水生的
semibreve	全音符
semicircle	半圓形
semicircular	半圓的
semicivilized	半文明的
semicolon	分號
semiconducting	半導體的
semiconductor	半導體
semidiameter	半徑
semiformal	半正式的
semilunar	半月形的
semilunar bone	月骨
semilunar valve	半月瓣
semimetal	半金屬
seminal	精液的
seminal vesicle	精囊
seminar	研究班
seminary	神學院
seminiferous	產種子的
semiology	符號學
semiotics	符號論
semipermeable	半透的
semiprivate	半私用的
semiquaver	十六分音符
Semitic	閃米特人的
semitone	半音
semivowel	半元音
semiweekly	每週兩次的
semolina	粗粒小麥粉
sempiternal	永久的
senary	六的
senate	參議院
senator	參議員
send	發送
send-off	送別
send-up	諷刺
sending	發送
senecio	千裡光
Senegal	塞內加爾
senesce	開始衰老
senescence	老朽
seneschal	管家
senile	高齡的
senile dementia	老年性癡呆
senility	高齡
senior	年長者
senior citizen	高齡公民
senior high school	高中
seniority	長輩
senna	山扁豆
sennet	喇叭號聲
sennight	一星期
sennit	編繩
sensate	可感覺的
sensation	感覺
sensational	使人感動的
sensationalize	使引起轟動
sense	感應
sense organ	感覺器官
senseless	無感覺的
sensibility	感性
sensible	有感覺的
sensitive	敏感的
sensitivity	敏感
sensitize	使敏感
sensitometer	感光計
sensor	傳感器
sensorimotor	感覺運動的
sensorium	感覺中樞
sensory	知覺的
sensu lato	廣義上的
sensual	肉欲的
sensualist	好色者
sensuality	耽于聲色
sensuous	感覺上的
sentence	句子
sentential	判決的
sententious	簡潔的
sentient	有感覺力的
sentiment	感情
sentimental	感傷的
sentimentalism	感傷主義
sentimentality	多愁善感
sentimentalize	流于感傷
sentinel	哨兵
sentry	哨兵
sentry box	崗亭
Seoul	漢城
sepal	萼片
separable	可分離的
separate	獨立件
separately	表
separation	分離
separatism	分離主義
separatist	分離主義者
Sephadex	交聯葡聚糖
Sepharose	瓊脂糖
sepia	烏賊
sepoy	印度兵
seppuku	切腹自殺
sepsis	膿毒病
sept	氏族
Sept.	九月
septa	中隔
septal	隔膜的
septate	有中隔的
September	九月
septenary	七的
septennial	延續七年的
septet	七位字節
septic	腐敗的
septic tank	化糞池
septicaemia	敗血病
septimal	七的
septime	第七姿勢
septivalent	七價的
septum	隔膜
septuple	七倍
septuplet	七胎兒
sepulchral	墳墓的
sepulchre	墳墓
sepulture	埋葬
sequacious	盲從的
sequel	繼續
sequela	結果
sequence	序列
sequencer	程序裝置
sequent	後果
sequential	繼續的
sequential access	順序存取
sequential circuit	時序線路
sequester	使隱退
sequestered	隱退的
sequestrate	扣押
sequestration	螯合作用
sequestrum	死骨
sequin	14 裝飾衣服用的金屬或塑料小圓片
sequoia	紅杉
sera	漿液
serac	冰塔
seraglio	閨房
serai	客店
serang	水手長
seraph	六翼天使
seraphic	六翼天使的
sere	幹枯的
serenade	小夜曲
serene	寧靜的
serenity	寧靜
serf	農奴
serge	嗶嘰
sergeant	警察小隊長
serial number	序號
serial port	串行端口
serial section	連續切片
serialism	十二音階
serialize	連載
seriate	連續的
seriatim	依次地
sericite	絹雲母
sericulture	養蠶
series	串聯
serigraph	絹網印花
serine	絲氨酸
serious	嚴肅的
seriously	嚴肅地
seriousness	嚴肅
serjeant	警官
serjeant-at-arms	衛士
sermon	說教
sermonize	說教
sero-	漿液
serodiagnosis	血清學診斷
serology	血清學
serosa	漿膜
serositis	漿膜炎
serotonin	血清素
serotype	血清型
serous	如水的
Serpens	巨蛇座
serpent	巨蛇座
serpentine	蛇的
serpiginous	匐行的
serrate	鋸齒狀的
serrated	鋸齒狀的
serration	鋸齒狀
serried	密集的
serum	漿液
serum sickness	血清病
serv.	保存
serval	藪貓
servant	僕人
serve	可作
server	服伺者
service	服務
service area	服務區
service book	祈禱書
service bureau	服務局
service charge	服務費
service club	士兵俱樂部
service contract	服務合同
service dress	軍便裝
service industry	服務行業
service line	發球界線
service mark	服務標記
service road	便道
service station	加油站
serviceable	有用的
serviceman	軍人
servicer	服務程序
serviette	揩嘴布
servile	奴隸的
servility	奴態
serving	服務
servingman	男傭人
servitor	僕人
servitude	奴隸狀態
servo	伺服
servomechanism	伺服機構
servomotor	伺服電動機
sesame	芝麻
sesamoid	芝麻形的
sesquioxide	倍半氧化物
sessile	無柄的
session	期間
sestet	六重唱曲
sestina	六節詩
set	日落
set point	調整點
set screw	定位螺釘
set square	三角板
set theory	集合論
set-aside	取消
set-in	開始
set-off	抵銷
set-to	毆鬥
set-up	裝備
seta	剛毛
setback	挫折
seton	洩液線
setose	多剛毛的
settee	長靠背椅
setting	環境
settle	有背長椅
settlement	安頓
settler	移民者
settlor	財產授予者
seven	七
sevenfold	七倍
seventeen	十七
seventh	第七
seventy	七十
seventy-eight	七十八
sever	切斷
several	幾個的
severally	各自地
severalty	各自
severance	切斷
severance pay	解雇費
severe	嚴格的
severely	嚴格
severity	嚴格
sew	縫紉
sewage	髒水
sewage farm	污水處理場
sewer	下水道
sewerage	排水設備
sewing	縫制品
sewing machine	縫紉機
sewn	的過去分詞
sex	性別
sex appeal	性感
sex chromatin	性染色質
sex hormone	性激素
sexagesimal	六十的
sexcentenary	六百的
sexennial	持續六年的
sexfoil	六葉裝飾
sexism	性別歧視
sexivalent	六價的
sexless	無性的
sexology	性學
sexpartite	分成六個的
sext	第四段禱告
sextant	六分儀
sextet	六重唱
sextodecimo	十六開本
sexton	教堂司事
sextuple	六倍的
sextuplet	六胞胎之一
sexual	性的
sexual dimorphism	雌雄二形
sexual intercourse	性交
sexual reproduction	有性生殖
sexual selection	性選擇
sexuality	性征
sexualize	使有性別
sexy	有性感的
sf	比例因子
Sgt	段表
sh.	血清性肝炎
shabby	衣衫襤褸的
shabrack	鞍褥
shack	陋屋
shackle	桎梏
shad	西鯡
shadbush	唐棣
shaddock	柚子
shade	蔭
shading	留下陰影
shadow	陰影
shadow mask	陰蔽
shadow price	預示價格
shadowgraph	投影術
shadowland	虛幻境界
shadowy	有影的
shady	蔭涼的
shaft	軸
shaft horsepower	軸馬力
shafting	軸系
shag	粗毛
shaggy	毛發蓬亂的
shagreen	綠皮
shah	沙
shake	搖動
shake-out	抖出
shake-up	動搖
shakedown	便床
shaken	的過去分詞
shaker	搖動者
shaky	震動的
shale	頁岩
shale oil	頁岩油
shall	將
shallop	小舟
shallot	蔥
shallow	水淺的地方
shalom	您好
sham	假
shaman	薩滿教巫醫
shamble	蹣跚地走
shambles	肉店
shambling	蹣跚的
shambolic	大混亂的
shame	羞恥
shamefaced	害羞的
shameful	可恥的
shameless	不知羞恥的
shampoo	洗頭
shamrock	天藍
shamus	警察
shan't	將不要
shanghai	上海
Shangri-La	世外桃源
shank	脛
Shannon	香農
shanty	棚屋
shape	形狀
shapeless	無形狀的
shapely	樣子好的
shard	陶瓷碎片
share	部分
share capital	股份資本
share option	任選股權
share premium	股票溢價
share-out	均分
sharecropper	小佃農
shareholder	股東
shareware	試用軟件
shark	鯊魚
sharkskin	鯊魚皮
sharp	半升音調
sharp practice	卑鄙交易
sharp-eyed	目光敏銳的
sharp-set	飢餓的
sharp-tongued	說話尖酸的
sharp-witted	機敏的
sharpen	使尖銳
sharper	騙子
sharpie	騙子
sharpness	銳利
sharpshooter	射擊名手
shatter	碎片
shave	修面
shaveling	削發僧侶
shaven	修過臉的
shaver	修面的人
shavetail	陸軍少尉
shaving	薄片
shaw	雜木林
shawl	披肩
she	她
sheaf	束
shear	修剪
shears	大剪刀
shearwater	剪嘴鷗
sheatfish	六須鯰
sheath	鞘
sheathbill	鞘嘴鷗
sheathe	插入鞘
sheathing	入鞘
sheave	滑車輪
shebang	事情
shebeen	非法酒吧
shed	車棚
shedder	流血者
sheen	光輝
sheeny	光亮的
sheep	羊
sheep run	大牧羊場
sheep scab	羊痂
sheepdog	牧羊狗
sheepfold	羊圈
sheepish	懦弱的
sheepshank	羊小腿
sheepshead	羊頭
sheepskin	綿羊毛皮
sheer	絕對的
sheerlegs	起重三角架
sheet	床單
sheet anchor	備用大錨
sheet lightning	片狀閃電
sheet metal	金屬片
sheet music	活頁樂譜
sheeting	鋪被單
sheikh	酋長
sheila	姑娘
shekel	錢
shelduck	雌麻鴨
shelf	架子
shelf life	保存期限
shell	貝殼
shell company	空殼公司
shell game	騙局
shell jacket	緊身夾克衣
shell lime	介殼石灰
shell program	外殼程序
shell shock	砲彈休克
shell-like	似殼的
shellac	蟲膠
shellback	老水手
shellfire	砲火
shellfish	貝
shellwork	貝殼工藝品
shelter	庇護所
sheltered	受庇護的
shelve	放置架子上
shelves	架子
shelving	一組擱板
shemozzle	混亂
shepherd	牧羊人
shepherd's crook	牧羊杖
shepherdess	牧羊女
sherbet	冰凍果子露
sheriff	郡治安官
Sherlock	私家偵探
sherry	雪利酒
shibboleth	暗語
shield	盾
shieling	草棚
shift	變化
shift register	移位寄存器
shifter	搬移東西者
shifting	移位
shiftless	無計謀的
shifty	變化的
shigella	志賀氏菌屬
shikar	狩獵
shill	小販的同伙
shilling	先令
shilly-shally	猶豫不決
shim	填片
shimmer	微光
shimmy	女式襯衣
shin	脛骨
shin bone	脛骨
shin guard	護脛
shin splints	外脛夾
shindig	喧嘩
shindy	喧嘩
shine	光澤
shiner	出色的人
shingle	牆面板
shingles	帶狀皰疹
shining	光亮的
shinny	攀
shiny	有光澤的
ship	船
ship of the desert	沙漠之舟
ship-breaker	11 收購和拆卸廢船的承包人
ship-rigged	三桅橫帆的
ship's company	全體船員
ship's husband	船舶代理人
ship's papers	船舶證件
shipboard	舷側
shipbuilder	造船專家
shiplap	搭接
shipload	船貨
shipmaster	船長
shipmate	同船水手
shipment	裝船
shipowner	船主
shipper	託運人
shipping	裝運
shipping agent	運貨代理商
shipping bill	艙單
shipping office	運輸事務所
shippon	牛棚
shipshape	整潔幹淨的
shipway	造船台
shipworm	船蛆
shipwreck	遇難船
shipwright	造船木匠
shipyard	造船廠
shire	郡
shirk	溜掉
shirr	寬緊線
shirt	襯衫
shirting	襯衫衣料
shit	拉屎
shiv	刀
shiva	七日服喪期
shive	碎片
shiver	顫抖
shivery	顫抖的
SHM	簡諧運動
shoal	淺水
shoat	小豬
shock	震動
shock absorber	減震器
shock wave	衝擊波
shock-headed	頭發蓬亂的
shocking	令人震驚的
shockproof	防震的
shoe	鞋
shoeblack	擦鞋匠
shoehorn	鞋拔
shoelace	鞋帶
shoemaker	鞋店營業員
shoepack	縛帶防水鞋
shoestring	鞋帶
shofar	羊角號
shoo	噓
shook	的過去式
shoot	射擊
shoot-'em-up	槍戰影片
shoot-out	槍戰
shooter	射手
shooting	發射
shooting board	斜刨板
shooting gallery	射擊場
shooting iron	火器
shooting range	射擊場
shooting star	流星
shooting stick	折疊座手杖
shooting war	熱戰
shop	商店
shop steward	工會代表
shopkeeper	零售商
shoplifting	入店行竊
shopman	店主
shopper	購物者
shopping	買東西
shopping list	購貨車
shopwalker	巡視員
shopworn	陳舊的
shore	海岸
shoreline	海岸線
shoring	支撐設備
shorn	的過去分詞
short	短的
short circuit	短路
short covering	補進
short shrift	臨終懺悔
short sight	近視
short subject	電影短片
short title	簡略標題
short wave	短波
short weight	重量不足
short-dated	短期的
short-day	短日照的
short-handed	人手不足的
short-lived	短命的
short-range	短射程的
short-run	短期的
short-sighted	近視的
short-tempered	脾氣壞的
short-term	短期的
short-winded	易氣急的
shortage	不足
shortbread	白脫甜酥餅
shortcoming	缺點
shortcut	捷徑
shorten	弄短
shortening	縮短
shortfall	不足
shorthand	速記
shorthorn	短角牛
shortly	不久
shorts	短褲
shortstop	遊擊手
shorty	矮個子
shot	發射
shot hole	爆破井
shotcrete	壓力噴漿
shotgun	散彈獵槍
should	應該
shoulder	肩
shoulder blade	肩胛
shoulder knot	肩章
shoulder strap	肩章
shoulder-high	齊肩高的
shouldn't	不該
shout	呼喊
shove	推
shove-halfpenny	打硬幣遊戲
shovel	鏟
shoveler	用鏟者
shovelhead	窄頭雙髻鯊
show	顯示
show bill	海報
show business	娛樂業
show window	櫥窗
show-off	賣弄
showboat	演戲船
showcase	陳列櫥
showdown	攤牌
shower	陣雨
showery	陣雨的
showing	顯示
showman	演出主持人
shown	的過去分詞
showpiece	展出品
showplace	名勝地
showroom	陳列室
showy	豔麗的
shrank	的過去式
shrapnel	零錢
shred	碎布條
shredder	切菜器
shrew	潑婦
shrewd	精明的
shrewish	潑婦一樣的
shriek	尖銳的響聲
shrievalty	郡長的任期
shrift	懺悔
shrike	伯勞鳥
shrill	尖聲
shrimp	蝦
shrine	聖地
shrink	收縮
shrinkage	收縮
shrinking violet	羞怯的人
shrive	聽懺悔
shrivel	起皺紋
shroff	錢幣兌換商
shroud	屍衣
shrove	的過去式
Shrove Tuesday	懺悔星期二
shrub	矮樹
shrubbery	灌木
shrug	聳肩
shtick	滑稽場面
shuck	殼
shudder	戰栗
shuffle	拖著腳走
shuffleboard	推圓盤遊戲
shun	避開
shunt	使轉軌
shunter	扳道員
shush	噓
shut	關閉
shut-eye	睡眠
shutdown	關門
shutout	關廠
shutter	百葉窗
shutterbug	攝影愛好者
shuttle	穿梭
shuttlecock	羽毛球
shy	驚跳
shyness	羞怯
shyster	訟棍
si	國際單位制
sialagogue	催涎劑
sialic acid	唾液酸
Siam	暹羅
siamang	合趾猿
Siamese	暹羅的
sibling	兄弟
sibship	血緣關系
sibyl	女巫
sibylline	女巫的
sic	原文如此
siccative	使幹燥的
sick	病人
sick call	病號檢閱
sick headache	偏頭痛
sick leave	病假
sick list	病人名單
sick nurse	護病護士
sick pay	病假工資
sickbed	病床
sicken	患病
sickener	催吐物
sickening	引起疾病的
sickle	鐮刀
sickly	病弱的
sickness	疾病
sickroom	病房
side	旁邊
side chain	側鏈
side dish	配菜
side drum	小鼓
side effect	副作用
side issue	次要問題
side plate	側板
side road	旁路
side valve	旁閥
side view	側視圖
side wind	側風
side-wheeler	明輪船
sidearm	側投球的
sideband	邊帶
sideboard	餐具櫃
sidecar	邊車
sided	有邊的
sidehill	山坡
sidekick	伙伴
sidelight	側線
sideline	副業
sidelong	橫向地
sideman	伴奏者
sidereal	星的
siderite	菱鐵礦
sidero-	鐵
siderophore	鐵載體
sideshow	雜耍
sidesman	教會副執事
sidestep	橫跨的一步
sidestroke	側泳
sideswipe	沿邊擦過
sidetrack	側線
sidewalk	人行道
sidewall	邊牆
sideward	側面的
sideways	向旁邊
sidewinder	側擊
siding	側線
sidle	橫著走
siege	包圍
siege gun	攻城加農砲
sienna	黃褐色
siesta	午睡
sieve	篩子
sieve plate	篩板
sift	篩
Sig.	標記
sigh	嘆息
sight	景觀
sight glass	看窗
sight-read	即興地演奏
sighted	有視力的
sightless	盲的
sightly	看著舒服的
sightseeing	觀光
sightworthy	值得一看的
sigil	圖章
sigma	求和
sigmate	形的
sigmoid	字形的
sign	符號
sign language	手語
signal	信號
signal box	信號房
signal-to-noise ratio	信噪比
signalize	使著名
signalman	信號手
signature	簽字
signboard	招牌
signet	印
signet ring	圖章戒指
significance	重要性
significant	重要的
significant figure	有效位
signification	含義
significative	有意義的
signify	象征
signing	簽署
Signor	紳士
Signora	夫人
Signorina	未婚女子
signory	執政團
signpost	招牌柱
signwriter	寫招牌的人
sike	小溪
silage	青貯飼料
silane	硅烷
silastic	硅橡膠
silence	沉默
silencer	使沉默的人
silent	沉默的
silent partner	隱名合伙人
silex	硅石
silica	硅石
silica gel	硅膠
silicate	硅酸鹽
silicic	硅的
silicic acid	硅酸
silicide	硅化物
silicify	硅酸化
silicon	硅
silicon carbide	碳化硅
silicon chip	硅片
Silicon Valley	硅谷
silicone	硅樹脂
silicosis	石末沉著病
siliqua	長角果
silk	絲
Silk Road	絲綢之路
silk screen	絲網
silk-stocking	穿綢襪的
silken	絲的
silkworm	蠶
silky	絲的
sill	基石
sillimanite	硅線石
silly	愚蠢的
silo	筒倉
siloxane	硅氧烷
silt	淤泥
silver	銀
silver chloride	氯化銀
silver iodide	碘化銀
silver medal	銀牌
silver nitrate	硝酸銀
silver sand	銀砂
silver solder	銀焊
silver standard	銀本位
silver wedding	銀婚
silverfish	銀色的魚
silvering	鍍銀
silvern	銀的
silverside	牛臀肉
silversmith	銀
silverware	銀器
silverweed	銀葉花
silvery	像銀的
silviculture	造林
simian	類人猿的
similar	相似的
similarity	類似
similarly	相像地
simile	明喻
similitude	相似
simmer	煨
simoleon	一元
simon-pure	地道的
simonize	給
simony	聖職買賣
simoom	西蒙風
simp	笨人
simpatico	令人喜愛的
simper	假笑
simple	簡單的
simple fracture	單純骨折
simple harmonic motion	簡諧運動
simple sentence	簡單語句
simpleton	笨蛋
simplex	簡單的
simplex method	單純法
simpliciter	絕對地
simplicity	單純
simplify	單一化
simply	簡單地
simul	同時
simulacrum	像
simulant	擬態的
simulate	模擬
simulated	模仿的
simulator	模擬器
simulcast	同時聯播
simultaneous	同時的
simultaneously	同時發生
sin	罪
Sinanthropus	中國猿人屬
since	自
sincere	誠實的
sincerely	真誠地
sincerity	誠實
sinciput	前頂
sine	正弦
sine curve	正弦曲線
sinecure	閒職
sinew	肌肉
sinewy	強壯的
sinfonia	交響樂
sinful	有罪的
sing	唱
sing.	各
singalong	歌唱聚會
Singapore	新加坡
singe	燒焦
singer	歌手
single	單身的
single bond	單鍵
single-acting	單動式的
single-breasted	單排鈕扣的
single-ended	單端型
single-foot	單步
single-handed	單獨的
single-minded	誠實的
single-seater	單座車
singlet	汗衫
singleton	一個
singletree	車前橫木
singly	一個一個地
singular	單數
singularity	奇異
singularize	使顯著
singularly	少見地
Sinicize	使中國化
sinister	不吉利的
sinistral	左的
sinistrorse	左旋的
Sinitic	中國的
sink	藏垢的場所
sinker	使下沉的人
sinkhole	陰溝口
sinking fund	償債基金
sinless	無罪的
sinner	罪人
Sino-	竇
sino-atrial	竇房的
Sinology	漢學
sinter	泉華
sinuate	彎彎曲曲的
sinuosity	彎曲
sinuous	彎彎曲曲的
sinus	竇
sinusitis	竇炎
sinusoid	正弦曲線
sip	啜飲
siphon	虹吸管
Siphonaptera	蚤目
Siphonophora	管水母亞綱
siphonostele	管狀中柱
Siphunculata	虱目
sippet	12 浸在肉汁裡的一小塊烤面包
sir	先生
siren	女海妖
Sirius	天狼星
sirocco	西羅科風
sirrah	小子
sisal	劍麻
siskin	黃雀
sissy	女孩子
sister	姐妹
sister-german	同胞姐妹
sister-in-law	夫
sisterhood	姊妹關系
Sistine Chapel	西斯廷教堂
sistrum	叉鈴
sit	坐
sit-down	靜坐抗議
sit-in	靜坐抗議
sit-up	仰臥起坐
sit-upon	屁股
sitar	西他
site	位置
sitter	坐著的人
sitting	入席
sitting room	起居室
situate	使位于
situation	情形
situation ethics	應變道德觀
situs	位置
sitz bath	坐浴
sitzkrieg	對峙戰
six	六
six-gun	六響槍
six-pack	六瓶
sixfold	六倍的
sixpence	六便士硬幣
sixpenny	六便士的
sixte	第六姿勢
sixteen	十六
sixth	第六
sixth sense	第六覺
sixty	六十
sixty-fourmo	六十四開
sizar	減費生
size	大小
sizeable	相當大的
sjambok	犀皮鞭
SJC	最高法院
SJD	法理學博士
skag	香煙頭
skate	溜冰
skating	溜冰
skating rink	溜冰場
skedaddle	逃走
skeeter	蚊子
skein	一束
skeletal	骨骼的
skeleton	骨骼
skeleton key	萬能鑰匙
skelp	快步走
skep	籃子
skerry	礁
sketch	素描
sketch map	草圖
sketchbook	寫生簿
sketchy	概略的
skew	斜的
skewback	拱腳斜
skewbald	花斑的
skewer	串肉棒
ski	滑雪橇
ski pants	滑雪褲
ski pole	滑雪杖
ski run	滑雪道
ski-plane	雪上飛機
skid	剎住
skidoo	出去
skier	滑雪的人
skiff	小艇
skiing	滑雪運動
skijoring	馬拉滑雪
skilful	靈巧的
skill	技術
skilled	熟練的
skillet	煮鍋
skilly	麥片粥
skim	撇取浮沫
skimmed milk	脫脂奶
skimp	少給
skimpy	不足的
skin	皮膚
skin effect	集膚效應
skin friction	表面摩擦
skin game	騙局
skin graft	皮移植片
skin test	皮膚試驗
skin-deep	膚淺的
skinflint	吝嗇鬼
skinful	滿滿一皮囊
skink	石龍子
skinned	具有
skinner	皮商
skinny	似皮的
skint	身無分文的
skintight	緊身的
skip	跳躍
skip zone	跳躍區
skipjack	跳躍玩偶
skipper	船長
skirl	尖叫聲
skirmish	前哨戰
skirt	裙子
skirting	裙料
skit	諷刺文
skitter	飛掠而過
skittish	易驚的
skive	削
skivvy	女傭人
skookum	強壯的
skua	賊鷗
skulduggery	欺騙
skulk	偷偷隱躲
skull	頭蓋骨
skull session	戰術講解課
skullcap	無邊便帽
skunk	臭鼬
sky	天空
sky blue	天藍色
sky marshal	空中警官
sky pilot	飛機駕駛員
sky wave	天空波
sky-clad	裸體的
sky-high	極高
skydiving	11 盡量延緩張傘的跳傘運動
skyer	高飛球
skyjack	空中劫持
Skylab	天空實驗室
skylark	雲雀
skylight	天窗
skyline	天涯
skyrocket	飛漲
skysail	天帆
skyscape	天空景色
skyscraper	摩天樓
skyward	向著天空
skyway	航線
skywriting	空中寫字
SL	仿真語言
slab	平板
slabber	涎
slack	鬆弛
slacken	使鬆弛
slacker	懶惰蟲
slag	熔渣
slag wool	渣棉
slagging	造渣
slain	的過去分詞
slake	消除
slalom	障礙滑雪
slam	砰然聲
slam-bang	砰然
slammer	監獄
slander	中傷
slanderous	中傷性的
slang	俚語
slangy	俚語的
slant	傾斜
slanting	傾斜的
slantwise	傾斜的
slap	摑
slap-up	講究的
slapdash	草率
slapjack	一種薄餅
slapstick	鬧劇
slash	猛砍
slash-and-burn	刀耕火種的
slasher	猛砍者
slat	條板
slate	板岩
slate pencil	石筆
slate-coloured	石板色的
slater	石板瓦工
slather	厚厚地塗
slatternly	不自檢點的
slaughter	殘殺
slaughterhouse	屠殺場
slave	奴隸
slave labour	奴役性勞動
Slave State	從屬狀態
slave trade	販賣奴隸
slaveholder	奴隸所有者
slaver	奴隸商人
slavery	奴隸的身分
slavey	女傭人
Slavic	斯拉夫的
slavish	奴隸的
Slavonic	斯拉夫的
slaw	酸卷心菜絲
slay	殺害
sleazy	質地薄的
sled	雪撬
sledge	雪橇
sledgehammer	大鎚
sleek	光滑的
sleep	睡眠
sleep mode	睡眠方式
sleeper	睡眠者
sleepiness	睡意
sleeping bag	睡袋
sleeping draught	安眠藥水
sleeping partner	隱名合伙人
sleeping pill	安眠藥片
sleeping sickness	昏睡病
sleepless	不睡眠的
sleepwear	睡衣褲
sleepy	困乏的
sleepyhead	貪睡者
sleet	雨夾雪
sleeve	袖子
sleeve link	袖口鈕
sleeve nut	套筒螺帽
sleigh	雪撬
sleight	技巧
slender	苗條的
sleuth	警犬
slew	沼地
slew rate	轉換速度
slewing	轉動
slice	薄的切片
slick	光滑的
slicker	防水衣
slide	滑
slide fastener	拉鏈
slide rule	計算尺
slide show	放映幻燈片
slide valve	滑閥
slider	滑動器
slideway	滑道
sliding scale	計算尺
slight	輕蔑
slighting	輕視的
slightly	些微地
slim	瘦的
slime	爛泥
slimy	泥的
sling	投石器
slingshot	彈弓
slinky	鬼鬼祟祟的
slip	滑
slip casting	注漿成型法
slip ring	集流器
slip sheet	薄襯紙
slip stitch	挑針
