a	eɪ	-ā	ㄝㄧ	累加器
ratio	ˈreɪʃɪəʊ	r-ā-sh-ē-ə-oo	ㄖㄝㄧㄕㄧㄦㄡ	比
ratio decidendi	ˈreɪʃɪəʊ decidendi	r-ā-sh-ē-ə-oo- -d-ec-ē-d-e-n-d-ē	ㄖㄝㄧㄕㄧㄦㄡ ㄉㄝㄕㄧㄉㄝㄋㄉㄧ	判決理由
ratiocinate	ˌrætɪˈɒsɪneɪt	r-a-t-i-o-s-i-n-ā-t	ㄖㄚㄉㄧㄛㄙㄧㄋㄝㄧㄉ	推理
ration	ˈræʃən	r-a-sh-ə-n	ㄖㄚㄕㄣ	定額
rational	ˈræʃənl	r-a-sh-ə-n-l	ㄖㄚㄕㄣㄌ	理性的
rationale	ˌræʃəˈnɑːl	r-a-sh-ə-n-ä-l	ㄖㄚㄕㄦㄋㄚㄌ	基本原理
rationalism	ˈræʃnəlɪzm	r-a-sh-n-ə-l-i-z-m	ㄖㄚㄕㄋㄦㄌㄧㄗㄇ	合理主義
rationalize	ˈræʃnəlaɪz	r-a-sh-n-ə-l-ī-z	ㄖㄚㄕㄋㄦㄌㄚㄧㄗ	使合理
ratite	ratite	r-a-t-ē-t-e	ㄖㄚㄉㄧㄉㄝ	平胸類的
ratoon	ratoon	-r-a-t-oo-n	ㄖㄚㄉㄛㄛㄋ	根蘗
ratsbane	ˈrætsbeɪn	r-a-t-s-b-ā-n	ㄖㄚㄗㄅㄝㄧㄋ	滅鼠藥
rattan	rəˈtæn	r-ə-t-a-n	ㄖㄦㄉㄚㄋ	藤
ratter	ˈrætə	r-a-t-ə	ㄖㄚㄉㄦ	捕鼠者
rattlebox	ˈrætlbɒks	r-a-t-l-b-o-k-s	ㄖㄚㄉㄌㄅㄛㄍㄙ	嘎嘎匣
rattler	ˈrætlə	r-a-t-l-ə	ㄖㄚㄉㄌㄦ	響尾蛇
rattlesnake	ˈrætlsneɪk	r-a-t-l-s-n-ā-k	ㄖㄚㄉㄌㄙㄋㄝㄧㄍ	響尾蛇
rattletrap	ˈrætltræp	r-a-t-l-t-r-a-p	ㄖㄚㄉㄌㄉㄖㄚㄅ	破馬車
rattling	ˈrætlɪŋ	r-a-t-l-i-ng	ㄖㄚㄉㄌㄧㄥ	格格作響的
ratty	ˈræti	r-a-t-ē	ㄖㄚㄉㄧ	像老鼠的
raucous	ˈrɔːkəs	r-ô-k-ə-s	ㄖㄛㄍㄦㄙ	沙啞的
raunchy	raunchy	r-a-ū-n-c-h-y	ㄖㄠㄋㄕㄏㄩ	不整潔的
rauwolfia	rauwolfia	-r-a-ū-w-o-l-f-ē-a	ㄖㄠㄨㄛㄌㄈㄧㄚ	蛇根木
ravage	ˈrævɪʤ	-r-a-v-i-y	ㄖㄚㄈㄧㄓ	破壞
rave	reɪv	r-ā-v	ㄖㄝㄧㄈ	狂吼
ravel	ˈrævəl	r-a-v-ə-l	ㄖㄚㄈㄦㄌ	使糾纏
ravelin	ˈrævlɪn	r-a-v-l-i-n	ㄖㄚㄈㄌㄧㄋ	形稜堡
raven	ˈreɪvn	r-ā-v-n	ㄖㄝㄧㄈㄋ	渡鴉
ravenous	ˈrævənəs	r-a-v-ə-n-ə-s	ㄖㄚㄈㄣㄦㄙ	貪婪的
ravin	ˈrævɪn	r-a-v-i-n	ㄖㄚㄈㄧㄋ	掠奪
ravine	rəˈviːn	r-ə-v-ē-n	ㄖㄦㄈㄧㄋ	峽谷
raving	ˈreɪvɪŋ	r-ā-v-i-ng	ㄖㄝㄧㄈㄧㄥ	胡說的
ravish	ˈrævɪʃ	r-a-v-i-sh	ㄖㄚㄈㄧㄕ	強奪
ravishing	ˈrævɪʃɪŋ	r-a-v-i-sh-i-ng	ㄖㄚㄈㄧㄕㄧㄥ	引人入勝的
raw	rɔː	r-ô	ㄖㄛ	擦傷處
raw material	rɔː məˈtɪərɪəl	r-ô- -m-ə-t-ē-ə-r-ē-ə-l	ㄖㄛ ㄇㄦㄉㄧㄦㄖㄧㄦㄌ	原料
raw sugar	rɔː ˈʃʊgə	r-ô- -sh-oo-g-ə	ㄖㄛ ㄕㄡㄍㄦ	粗糖
rawhide	ˈrɔːhaɪd	r-ô-h-ī-d	ㄖㄛㄏㄚㄧㄉ	生皮
ray	reɪ	r-ā-	ㄖㄝㄧ	光線
Rayleigh number	Rayleigh ˈnʌmbə	Ray-l-e-ē-g-h- -n-u-m-b-ə-	Rㄚㄩㄌㄟㄍㄏ ㄋㄨㄇㄅㄦ	瑞利數
Rayleigh scattering	Rayleigh ˈskætərɪŋ	Ray-l-e-ē-g-h- -s-k-a-t-ə-r-i-ng-	Rㄚㄩㄌㄟㄍㄏ ㄙㄍㄚㄉㄦㄖㄧㄥ	瑞利散射
Rayleigh wave	Rayleigh weɪv	Ray-l-e-ē-g-h- -w-ā-v-	Rㄚㄩㄌㄟㄍㄏ ㄨㄝㄧㄈ	電波
Raynaud's disease	Raynaud's dɪˈziːz	Ray-n-a-ū-d-'-s- -d-i-z-ē-z	Rㄚㄩㄋㄠㄉ'ㄙ ㄉㄧㄗㄧㄗ	雷諾氏病
rayon	ˈreɪɒn	r-ā-o-n	ㄖㄝㄧㄛㄋ	人造絲
raze	reɪz	r-ā-z	ㄖㄝㄧㄗ	毀滅
razor	ˈreɪzə	r-ā-z-ə	ㄖㄝㄧㄗㄦ	剃刀
razor edge	ˈreɪzər ɛʤ	r-ā-z-ə-r- -é-y	ㄖㄝㄧㄗㄦㄖ ㄜㄓ	刃
razorback	ˈreɪzəbæk	r-ā-z-ə-b-a-k	ㄖㄝㄧㄗㄦㄅㄚㄍ	狹尖的背脊
razorbill	ˈreɪzəbɪl	r-ā-z-ə-b-i-l	ㄖㄝㄧㄗㄦㄅㄧㄌ	刀嘴海雀
razz	ræz	r-a-z	ㄖㄚㄗ	砸舌聲
razzia	ˈræzɪə	r-a-z-ē-ə	ㄖㄚㄗㄧㄦ	侵略
razzle	razzle	r-a-z-z-l-e	ㄖㄚㄗㄗㄌㄝ	混亂
razzle-dazzle	ˈræzlˌdæzl	-r-a-z-l-d-a-z-l	ㄖㄚㄗㄌㄉㄚㄗㄌ	混亂
razzmatazz	razzmatazz	r-a-z-z-m-a-t-a-z-z-	ㄖㄚㄗㄗㄇㄚㄉㄚㄗㄗ	興奮
Rb	Rb	R-b	Rㄅ	歸偏制
RBC	ɑː-biː-siː	ä-b-ē-s-ē	ㄚ-ㄅㄧ-ㄙㄧ	紅血球
RC	ɑː-siː	ä-s-ē-	ㄚ-ㄙㄧ	紅十字
Rd	Rd	R-d	Rㄉ	報表描述
RDX	ɑː-diː-ɛks	ä-d-ē-é-k-s	ㄚ-ㄉㄧ-ㄜㄍㄙ	黑索今
re	riː	r-ē	ㄖㄧ	關于
re-	riː-	r-ē	ㄖㄧ-	再
re-collect	riː-kəˈlɛkt	r-ē-k-ə-l-é-k-t	ㄖㄧ-ㄍㄦㄌㄜㄍㄉ	再集合
re-cover	riː-ˈkʌvə	r-ē-k-u-v-ə	ㄖㄧ-ㄍㄨㄈㄦ	再蓋
re-dress	riː-drɛs	r-ē-d-r-é-s	ㄖㄧ-ㄉㄖㄜㄙ	重新穿衣
re-edit	riː-ˈɛdɪt	r-ē-é-d-i-t	ㄖㄧ-ㄜㄉㄧㄉ	重新編輯
re-equip	riː-ɪˈkwɪp	r-ē-i-k-w-i-p	ㄖㄧ-ㄧㄍㄨㄧㄅ	重新裝備
re-establish	riː-ɪsˈtæblɪʃ	r-ē-i-s-t-a-b-l-i-sh	ㄖㄧ-ㄧㄙㄉㄚㄅㄌㄧㄕ	重建
re-export	riː-ˈɛkspɔːt	r-ē-é-k-s-p-ô-t	ㄖㄧ-ㄜㄍㄙㄅㄛㄉ	再出口
re-sign	riː-saɪn	r-ē-s-ī-n	ㄖㄧ-ㄙㄚㄧㄋ	再簽署
re-sort	riː-sɔːt	r-ē-s-ô-t	ㄖㄧ-ㄙㄛㄉ	使再分類
re-up	riː-ʌp	r-ē-u-p	ㄖㄧ-ㄨㄅ	再服兵役
reabsorb	ˌriːəbˈsɔːb	r-ē-ə-b-s-ô-b	ㄖㄧㄦㄅㄙㄛㄅ	重吸收
reach	riːʧ	r-ē-ch	ㄖㄧㄓ	伸出
reach-me-down	ˈriːʧmɪdaʊn	r-ē-ch-m-i-d-o-w-n	ㄖㄧㄓㄇㄧㄉㄚㄡㄋ	現成的
react	ri(ː)ˈækt	r-ē---a-k-t	ㄖㄧㄚㄍㄉ	起反應
reactance	ri(ː)ˈæktəns	r-ē---a-k-t-ə-n-s	ㄖㄧㄚㄍㄉㄣㄙ	電抗
reactant	reactant	r-eac-t-a-n-t	ㄖㄝㄚㄕㄉㄢㄉ	反應物
reaction	ri(ː)ˈækʃən	r-ē---a-k-sh-ə-n	ㄖㄧㄚㄍㄕㄣ	反應
reaction formation	ri(ː)ˈækʃən fɔːˈmeɪʃən	r-ē---a-k-sh-ə-n- -f-ô-m-ā-sh-ə-n	ㄖㄧㄚㄍㄕㄣ ㄈㄛㄇㄝㄧㄕㄣ	反應形成
reactionary	ri(ː)ˈækʃnəri	r-ē---a-k-sh-n-ə-r-ē	ㄖㄧㄚㄍㄕㄋㄦㄖㄧ	反動分子
reactivate	ˌriːˈæktɪveɪt	r-ē-a-k-t-i-v-ā-t	ㄖㄧㄚㄍㄉㄧㄈㄝㄧㄉ	恢復活動
reactive	ri(ː)ˈæktɪv	r-ē---a-k-t-i-v	ㄖㄧㄚㄍㄉㄧㄈ	反動的
reactivity	ˌriːækˈtɪvɪti	r-ē-a-k-t-i-v-i-t-ē	ㄖㄧㄚㄍㄉㄧㄈㄧㄉㄧ	反應
reactor	ri(ː)ˈæktə	r-ē---a-k-t-ə	ㄖㄧㄚㄍㄉㄦ	反應者
read	riːd	r-ē-d	ㄖㄧㄉ	讀
read-in	riːd-ɪn	r-ē-d-i-n	ㄖㄧㄉ-ㄧㄋ	寫入
read-only memory	riːd-ˈəʊnli ˈmɛməri	r-ē-d-ə-oo-n-l-ē- -m-é-m-ə-r-ē	ㄖㄧㄉ-ㄦㄡㄋㄌㄧ ㄇㄜㄇㄦㄖㄧ	只讀內存
read-out	riːd-aʊt	r-ē-d-o-w-t	ㄖㄧㄉ-ㄚㄡㄉ	讀出
read-write	riːd-raɪt	r-ē-d-r-ī-t	ㄖㄧㄉ-ㄖㄚㄧㄉ	讀寫磁頭
readable	ˈriːdəbl	r-ē-d-ə-b-l	ㄖㄧㄉㄦㄅㄌ	值得一讀的
readdress	ˌriːəˈdrɛs	r-ē-ə-d-r-é-s	ㄖㄧㄦㄉㄖㄜㄙ	使重新著手
reader	ˈriːdə	r-ē-d-ə	ㄖㄧㄉㄦ	讀者
readership	ˈriːdəʃɪp	r-ē-d-ə-sh-i-p	ㄖㄧㄉㄦㄕㄧㄅ	讀者
readily	ˈrɛdɪli	r-é-d-i-l-ē	ㄖㄜㄉㄧㄌㄧ	迅速地
readiness	ˈrɛdɪnɪs	r-é-d-i-n-i-s	ㄖㄜㄉㄧㄋㄧㄙ	預備
reading	ˈriːdɪŋ	r-ē-d-i-ng	ㄖㄧㄉㄧㄥ	閱讀
readjust	ˌriːəˈʤʌst	r-ē-ə-y-u-s-t	ㄖㄧㄦㄓㄨㄙㄉ	重新調整
readmit	ˌriːədˈmɪt	r-ē-ə-d-m-i-t	ㄖㄧㄦㄉㄇㄧㄉ	重新接納
ready money	ˈrɛdi ˈmʌni	r-é-d-ē- -m-u-n-ē	ㄖㄜㄉㄧ ㄇㄨㄋㄧ	現款
ready-made	ˈrɛdɪˈmeɪd	r-é-d-i-m-ā-d	ㄖㄜㄉㄧㄇㄝㄧㄉ	現成的
ready-mix	ˈrɛdi-mɪks	r-é-d-ē-m-i-k-s	ㄖㄜㄉㄧ-ㄇㄧㄍㄙ	預拌的
ready-to-wear	ˈrɛdɪtəˈweə	r-é-d-i-t-ə-w-ã	ㄖㄜㄉㄧㄉㄦㄨㄝㄦ	現成的
reaffirm	ˌriːəˈfɜːm	r-ē-ə-f-û-m	ㄖㄧㄦㄈㄦㄇ	重申
reagent	ri(ː)ˈeɪʤənt	r-ē---ā-y-ə-n-t	ㄖㄧㄝㄧㄓㄣㄉ	試劑
reagent grade	ri(ː)ˈeɪʤənt greɪd	r-ē---ā-y-ə-n-t- -g-r-ā-d	ㄖㄧㄝㄧㄓㄣㄉ ㄍㄖㄝㄧㄉ	試劑級別
reagin	ˌriːəˈgɪn	r-ē-ə-g-i-n	ㄖㄧㄦㄍㄧㄋ	反應素
real	rɪəl	r-ē-ə-l	ㄖㄧㄦㄌ	真的
real account	rɪəl əˈkaʊnt	r-ē-ə-l- -ə-k-o-w-n-t	ㄖㄧㄦㄌ ㄦㄍㄚㄡㄋㄉ	實帳戶
real estate	rɪəl ɪsˈteɪt	r-ē-ə-l- -i-s-t-ā-t	ㄖㄧㄦㄌ ㄧㄙㄉㄝㄧㄉ	不動產
real life	rɪəl laɪf	r-ē-ə-l- -l-ī-f	ㄖㄧㄦㄌ ㄌㄚㄧㄈ	現實社會
real property	rɪəl ˈprɒpəti	r-ē-ə-l- -p-r-o-p-ə-t-ē	ㄖㄧㄦㄌ ㄅㄖㄛㄅㄦㄉㄧ	不動產
real time	rɪəl taɪm	r-ē-ə-l- -t-ī-m	ㄖㄧㄦㄌ ㄉㄚㄧㄇ	實時
real wages	rɪəl ˈweɪʤɪz	r-ē-ə-l- -w-ā-y-i-z	ㄖㄧㄦㄌ ㄨㄝㄧㄓㄧㄗ	實際工資
realgar	rɪˈælgə	r-i-a-l-g-ə	ㄖㄧㄚㄌㄍㄦ	雄黃
realia	realia	r-ea-l-ē-a	ㄖㄝㄚㄌㄧㄚ	實觀教具
realign	ˌriːəˈlaɪn	-r-ē-ə-l-ī-n	ㄖㄧㄦㄌㄚㄧㄋ	重新排列
realism	ˈrɪəlɪzm	r-ē-ə-l-i-z-m	ㄖㄧㄦㄌㄧㄗㄇ	寫實主義
realistic	rɪəˈlɪstɪk	r-ē-ə-l-i-s-t-i-k	ㄖㄧㄦㄌㄧㄙㄉㄧㄍ	現實的
reality	ri(ː)ˈælɪti	r-ē---a-l-i-t-ē	ㄖㄧㄚㄌㄧㄉㄧ	實在
reality principle	ri(ː)ˈælɪti ˈprɪnsəpl	r-ē---a-l-i-t-ē- -p-r-i-n-s-ə-p-l	ㄖㄧㄚㄌㄧㄉㄧ ㄅㄖㄧㄋㄙㄦㄅㄌ	現實原則
realizable	ˈrɪəlaɪzəbl	r-ē-ə-l-ī-z-ə-b-l	ㄖㄧㄦㄌㄚㄧㄗㄦㄅㄌ	可實現的
realization	ˌrɪəlaɪˈzeɪʃən	r-ē-ə-l-ī-z-ā-sh-ə-n	ㄖㄧㄦㄌㄚㄧㄗㄝㄧㄕㄣ	實現
realize	ˈrɪəlaɪz	r-ē-ə-l-ī-z	ㄖㄧㄦㄌㄚㄧㄗ	了解
reallocate	ˌriːˈæləʊkeɪt	r-ē-a-l-ə-oo-k-ā-t	ㄖㄧㄚㄌㄦㄡㄍㄝㄧㄉ	重新分派
really	ˈrɪəli	r-ē-ə-l-ē	ㄖㄧㄦㄌㄧ	實際上
realm	rɛlm	r-é-l-m	ㄖㄜㄌㄇ	王國
realty	ˈrɪəlti	r-ē-ə-l-t-ē	ㄖㄧㄦㄌㄉㄧ	不動產
ream	riːm	r-ē-m	ㄖㄧㄇ	令
reamer	ˈriːmə	r-ē-m-ə	ㄖㄧㄇㄦ	鑽孔器
reanimate	ˌriːˈænɪmeɪt	r-ē-a-n-i-m-ā-t	ㄖㄧㄚㄋㄧㄇㄝㄧㄉ	使復活
reap	riːp	r-ē-p	ㄖㄧㄅ	收割
reaper	ˈriːpə	r-ē-p-ə	ㄖㄧㄅㄦ	收割者
reappear	ˌriːəˈpɪə	r-ē-ə-p-ē-ə	ㄖㄧㄦㄅㄧㄦ	再出現
reapply	ˌriːəˈplaɪ	r-ē-ə-p-l-ī	ㄖㄧㄦㄅㄌㄚㄧ	再申請
reappoint	ˌriːəˈpɔɪnt	r-ē-ə-p-o-ē-n-t	ㄖㄧㄦㄅㄛㄧㄋㄉ	再任命
reapportion	ˌriːəˈpɔːʃ(ə)n	r-ē-ə-p-ô-sh-ə--n	ㄖㄧㄦㄅㄛㄕㄦㄋ	重新分配
reappraise	ˌriːəˈpreɪz	r-ē-ə-p-r-ā-z	ㄖㄧㄦㄅㄖㄝㄧㄗ	重新評估
rear	rɪə	r-ē-ə	ㄖㄧㄦ	後面
rear admiral	rɪər ˈædmərəl	r-ē-ə-r- -a-d-m-ə-r-ə-l	ㄖㄧㄦㄖ ㄚㄉㄇㄦㄖㄦㄌ	海軍少將
rear projection	rɪə prəˈʤɛkʃən	r-ē-ə- -p-r-ə-y-é-k-sh-ə-n	ㄖㄧㄦ ㄅㄖㄦㄓㄜㄍㄕㄣ	背面投影
rearm	ˌriːˈɑːm	r-ē-ä-m	ㄖㄧㄚㄇ	重整軍備
rearmost	ˈrɪəməʊst	r-ē-ə-m-ə-oo-s-t	ㄖㄧㄦㄇㄦㄡㄙㄉ	最後的
rearrange	ˌriːəˈreɪnʤ	r-ē-ə-r-ā-n-y	ㄖㄧㄦㄖㄝㄧㄋㄓ	再排列
rearrest	ˈrɪərɪst	r-ē-ə-r-i-s-t	ㄖㄧㄦㄖㄧㄙㄉ	重新逮捕
rearward	ˈrɪəwəd	r-ē-ə-w-ə-d	ㄖㄧㄦㄨㄦㄉ	在背後
reason	ˈriːzn	r-ē-z-n	ㄖㄧㄗㄋ	理由
reasonable	ˈriːznəbl	r-ē-z-n-ə-b-l	ㄖㄧㄗㄋㄦㄅㄌ	合理的
reasonably	ˈriːznəbli	r-ē-z-n-ə-b-l-ē	ㄖㄧㄗㄋㄦㄅㄌㄧ	適度地
reasoned	ˈriːznd	r-ē-z-n-d	ㄖㄧㄗㄋㄉ	思路清晰的
reasoning	ˈriːznɪŋ	r-ē-z-n-i-ng	ㄖㄧㄗㄋㄧㄥ	推論
reassemble	ˌriːəˈsɛmbl	r-ē-ə-s-é-m-b-l	ㄖㄧㄦㄙㄜㄇㄅㄌ	重新召集
reassert	ˌriːəˈsɜːt	r-ē-ə-s-û-t	ㄖㄧㄦㄙㄦㄉ	再斷言
reassess	ˌriːəˈsɛs	r-ē-ə-s-é-s	ㄖㄧㄦㄙㄜㄙ	再評價
reassign	ˌriːəˈsaɪn	r-ē-ə-s-ī-n	ㄖㄧㄦㄙㄚㄧㄋ	再分配
reassume	ˌriːəˈsjuːm	r-ē-ə-s-yü-m	ㄖㄧㄦㄙㄡㄨㄇ	再採取
reassurance	ˌriːəˈʃʊərəns	r-ē-ə-sh-ü-ə-r-ə-n-s	ㄖㄧㄦㄕㄡㄦㄖㄣㄙ	安心
reassure	ˌriːəˈʃʊə	r-ē-ə-sh-ü-ə	ㄖㄧㄦㄕㄡㄦ	使
reave	riːv	r-ē-v	ㄖㄧㄈ	剝奪
rebarbative	rebarbative	r-e-b-a-r-b-a-t-ē-v-e	ㄖㄝㄅㄚㄖㄅㄚㄉㄧㄈㄝ	厭煩的
rebate	ˈriːbeɪt	-r-ē-b-ā-t	ㄖㄧㄅㄝㄧㄉ	部分退款
rebel	ˈrɛbl	r-é-b-l	ㄖㄜㄅㄌ	叛徒
rebellion	rɪˈbɛljən	r-i-b-é-l-y-ə-n	ㄖㄧㄅㄜㄌㄡㄣ	謀反
rebellious	rɪˈbɛljəs	r-i-b-é-l-y-ə-s	ㄖㄧㄅㄜㄌㄡㄦㄙ	造反的
rebind	ˌriːˈbaɪnd	r-ē-b-ī-n-d	ㄖㄧㄅㄚㄧㄋㄉ	重捆
rebirth	ˌriːˈbɜːθ	r-ē-b-û-th	ㄖㄧㄅㄦㄊ	再生
reboot	ˌriːˈbuːt	r-ē-b-ū-t	ㄖㄧㄅㄨㄉ	重新啟動
reborn	ˌriːˈbɔːn	r-ē-b-ô-n	ㄖㄧㄅㄛㄋ	再生的
rebound	rɪˈbaʊnd	r-i-b-o-w-n-d	ㄖㄧㄅㄚㄡㄋㄉ	彈回
rebozo	ˌriːˈbəʊzəʊ	r-ē-b-ə-oo-z-ə-oo	ㄖㄧㄅㄦㄡㄗㄦㄡ	長圍巾
rebroadcast	ˌriːˈbrɔːdkɑːst	r-ē-b-r-ô-d-k-ä-s-t	ㄖㄧㄅㄖㄛㄉㄍㄚㄙㄉ	轉播
rebuff	rɪˈbʌf	r-i-b-u-f	ㄖㄧㄅㄨㄈ	斷然拒絕
rebuild	ˌriːˈbɪld	r-ē-b-i-l-d	ㄖㄧㄅㄧㄌㄉ	改建
rebuke	rɪˈbjuːk	r-i-b-yü-k	ㄖㄧㄅㄡㄨㄍ	指責
rebus	ˈriːbəs	r-ē-b-ə-s	ㄖㄧㄅㄦㄙ	謎
rebut	rɪˈbʌt	r-i-b-u-t	ㄖㄧㄅㄨㄉ	反駁
rebuttal	rɪˈbʌtl	r-i-b-u-t-l	ㄖㄧㄅㄨㄉㄌ	辯駁
rebutter	rɪˈbʌtə	r-i-b-u-t-ə	ㄖㄧㄅㄨㄉㄦ	反駁者
rec	rec	r-ec	ㄖㄝㄕ	接收
recalcitrant	rɪˈkælsɪtrənt	-r-i-k-a-l-s-i-t-r-ə-n-t	ㄖㄧㄍㄚㄌㄙㄧㄉㄖㄣㄉ	反抗的
recalculate	ˌriːˈkælkjʊleɪt	r-ē-k-a-l-k-y-oo-l-ā-t	ㄖㄧㄍㄚㄌㄍㄡㄡㄌㄝㄧㄉ	重新計算
recalescence	recalescence	r-eca-l-e-s-ce-n-ce	ㄖㄝㄕㄚㄌㄝㄙㄕㄝㄋㄕㄝ	再織
recall	rɪˈkɔːl	-r-i-k-ô-l	ㄖㄧㄍㄛㄌ	回憶
recant	rɪˈkænt	r-i-k-a-n-t	ㄖㄧㄍㄚㄋㄉ	放棄
recantation	ˌriːkænˈteɪʃən	r-ē-k-a-n-t-ā-sh-ə-n	ㄖㄧㄍㄚㄋㄉㄝㄧㄕㄣ	放棄信仰
recap	ˈriːkæp	r-ē-k-a-p	ㄖㄧㄍㄚㄅ	翻新胎面
recapitalize	ˌriːkəˈpɪtəlaɪz	r-ē-k-ə-p-i-t-ə-l-ī-z	ㄖㄧㄍㄦㄅㄧㄉㄦㄌㄚㄧㄗ	調整
recapitulate	ˌriːkəˈpɪtjʊleɪt	r-ē-k-ə-p-i-t-y-oo-l-ā-t	ㄖㄧㄍㄦㄅㄧㄉㄡㄡㄌㄝㄧㄉ	重述要點
recapitulation	ˌriːkəˌpɪtjʊˈleɪʃən	r-ē-k-ə-p-i-t-y-oo-l-ā-sh-ə-n	ㄖㄧㄍㄦㄅㄧㄉㄡㄡㄌㄝㄧㄕㄣ	重述要點
recaption	ˌriːˈkæpʃən	r-ē-k-a-p-sh-ə-n	ㄖㄧㄍㄚㄅㄕㄣ	取回
recapture	ˌriːˈkæpʧə	r-ē-k-a-p-ch-ə	ㄖㄧㄍㄚㄅㄓㄦ	取回
recast	ˌriːˈkɑːst	r-ē-k-ä-s-t	ㄖㄧㄍㄚㄙㄉ	重鑄
recede	ri(ː)ˈsiːd	r-ē---s-ē-d	ㄖㄧㄙㄧㄉ	向後退
receipt	rɪˈsiːt	r-i-s-ē-t	ㄖㄧㄙㄧㄉ	收據
receivable	rɪˈsiːvəbl	r-i-s-ē-v-ə-b-l	ㄖㄧㄙㄧㄈㄦㄅㄌ	可接受的
receive	rɪˈsiːv	r-i-s-ē-v	ㄖㄧㄙㄧㄈ	收到
receivership	rɪˈsiːvəʃɪp	r-i-s-ē-v-ə-sh-i-p	ㄖㄧㄙㄧㄈㄦㄕㄧㄅ	清算人
receiving order	rɪˈsiːvɪŋ ˈɔːdə	r-i-s-ē-v-i-ng- -ô-d-ə	ㄖㄧㄙㄧㄈㄧㄥ ㄛㄉㄦ	接收命令
recension	rɪˈsɛnʃən	r-i-s-é-n-sh-ə-n	ㄖㄧㄙㄜㄋㄕㄣ	校訂
recent	ˈriːsnt	r-ē-s-n-t	ㄖㄧㄙㄋㄉ	最近的
recently	ˈriːsntli	r-ē-s-n-t-l-ē	ㄖㄧㄙㄋㄉㄌㄧ	最近
receptacle	rɪˈsɛptəkl	r-i-s-é-p-t-ə-k-l	ㄖㄧㄙㄜㄅㄉㄦㄍㄌ	容器
reception	rɪˈsɛpʃən	r-i-s-é-p-sh-ə-n	ㄖㄧㄙㄜㄅㄕㄣ	接待
reception centre	rɪˈsɛpʃən ˈsɛntə	r-i-s-é-p-sh-ə-n- -s-é-n-t-ə	ㄖㄧㄙㄜㄅㄕㄣ ㄙㄜㄋㄉㄦ	接待站
reception order	rɪˈsɛpʃən ˈɔːdə	r-i-s-é-p-sh-ə-n- -ô-d-ə	ㄖㄧㄙㄜㄅㄕㄣ ㄛㄉㄦ	接受監護令
reception room	rɪˈsɛpʃən ruːm	r-i-s-é-p-sh-ə-n- -r-ū-m	ㄖㄧㄙㄜㄅㄕㄣ ㄖㄨㄇ	接待室
receptionist	rɪˈsɛpʃənɪst	r-i-s-é-p-sh-ə-n-i-s-t	ㄖㄧㄙㄜㄅㄕㄣㄧㄙㄉ	接待員
receptive	rɪˈsɛptɪv	r-i-s-é-p-t-i-v	ㄖㄧㄙㄜㄅㄉㄧㄈ	能接納的
receptor	rɪˈsɛptə	r-i-s-é-p-t-ə	ㄖㄧㄙㄜㄅㄉㄦ	受體
recess	rɪˈsɛs	r-i-s-é-s	ㄖㄧㄙㄜㄙ	休息
recession	rɪˈsɛʃən	r-i-s-é-sh-ə-n	ㄖㄧㄙㄜㄕㄣ	後退
recessional	rɪˈsɛʃənl	r-i-s-é-sh-ə-n-l	ㄖㄧㄙㄜㄕㄣㄌ	歸還的
recessive	rɪˈsɛsɪv	r-i-s-é-s-i-v	ㄖㄧㄙㄜㄙㄧㄈ	後退的
recharge	riːˈʧɑːʤ	r-ē-ch-ä-y	ㄖㄧㄓㄚㄓ	再充電
recheck	ˌriːˈʧɛk	r-ē-ch-é-k	ㄖㄧㄓㄜㄍ	復查
rechristen	ˌriːˈkrɪsn	r-ē-k-r-i-s-n	ㄖㄧㄍㄖㄧㄙㄋ	再度命名
recidivist	rɪˈsɪdɪvɪst	r-i-s-i-d-i-v-i-s-t	ㄖㄧㄙㄧㄉㄧㄈㄧㄙㄉ	慣犯
recipe	ˈrɛsɪpi	r-é-s-i-p-ē	ㄖㄜㄙㄧㄅㄧ	食譜
recipient	rɪˈsɪpɪənt	r-i-s-i-p-ē-ə-n-t	ㄖㄧㄙㄧㄅㄧㄣㄉ	領受的
reciprocal	rɪˈsɪprəkəl	r-i-s-i-p-r-ə-k-ə-l	ㄖㄧㄙㄧㄅㄖㄦㄍㄦㄌ	互惠的
reciprocate	rɪˈsɪprəkeɪt	r-i-s-i-p-r-ə-k-ā-t	ㄖㄧㄙㄧㄅㄖㄦㄍㄝㄧㄉ	回報
reciprocity	ˌrɛsɪˈprɒsɪti	r-é-s-i-p-r-o-s-i-t-ē	ㄖㄜㄙㄧㄅㄖㄛㄙㄧㄉㄧ	相互性
reciprocity failure	ˌrɛsɪˈprɒsɪti ˈfeɪljə	r-é-s-i-p-r-o-s-i-t-ē- -f-ā-l-y-ə	ㄖㄜㄙㄧㄅㄖㄛㄙㄧㄉㄧ ㄈㄝㄧㄌㄡㄦ	倒易不能
recirculate	ˌriːˈsɜːkjʊleɪt	r-ē-s-û-k-y-oo-l-ā-t	ㄖㄧㄙㄦㄍㄡㄡㄌㄝㄧㄉ	重循環
recital	rɪˈsaɪtl	r-i-s-ī-t-l	ㄖㄧㄙㄚㄧㄉㄌ	背誦
recitation	ˌrɛsɪˈteɪʃən	r-é-s-i-t-ā-sh-ə-n	ㄖㄜㄙㄧㄉㄝㄧㄕㄣ	詳述
