ກ	A	k
ແກ້ໄຂບັນຫາຄວາມເຂົ້າກັນໄດ້	Fix compatibility issues	eikaikhbnhaakhwaamekhoaaknaid
ແກ້ໄຂບັນຫາຄວາມເຂົ້າກັນໄດ້ສຳລັບລາຍການທີ່ເລືອກ	Fix compatibility issues for selected items.	eikaikhbnhaakhwaamekhoaaknaidsamlblaanykaanthiielyy`k
ແກ້ໄຂບັນຫາຄວາມຜິດພາດຂອງການຊິ້ງ	Fix sync errors	eikaikhbnhaakhwaamphidphaadkh`ngkaansing
ແກ້ໄຂບັນຫາຄອມພິວເຕີທົ່ວໄປ	Solve common computer problems	eikaikhbnhaakh`mphiwehiithowaip
ແກ້ໄຂບັນຫາທີ່ເກີດຂຶ້ນກັບຄອມພິວເຕີຂອງທ່ານ	Fix problems that occur with your computer.	eikaikhbnhaathiiekiidkhynkbkh`mphiwehiikh`ngthaan
ແກ້ໄຂແບບອັດຕະໂນມັດ	Auto-correct	eikaikheibb`dhaonmd
ແກ້ໄຂຜູ້ໃຊ້ແລະກຸ່ມສະເພາະທີ່	Edit specific users and groups	eikaikhphuuayseilakumsaephaaathii
ແກ້ໄຂແຜນການໃຊ້ພະລັງງານ	Edit energy usage plan	eikaikheiphnkaanaysphalngngaan
ແກ້ໄຂໄຟລ໌ທີ່ເລືອກ	Edit selected file	eikaikhaiflthiielyy`k
ແກດເຈັດທ໌	Gadget	eikdechdth
ແກັດເຈັດ	Gas station	eikdechd
ໃກ້ກັບຂົງເຂດ	Near the area	aykkbkhongekhd
ຂໍ້ຂັດແຍ້ງຖັດໄປ	Next controversy	khMkhdeinyngthdaip
ຂໍຄວາມຊ່ວຍເຫຼືອ	Ask for help.	khMkhwaamswnyehlyy`
ຂໍ້ຄິດເຫັນ	Opinion	khMkhidehn
ຂໍ້ຈໍາກັດnການປະຕິບັດການໄດ້ຖຶກຍົກເລີກຍ້ອນຂໍ້ຈຳກັດທີ່ມີຜົນກະທົບໃສາເຄຶ່ອງຄອມພິວເຕີນີ້	Restrictions: The operation has been canceled due to restrictions affecting the use of this computer.	khMchMaakdnkaanpahibdkaanaidthyknyokeliikny`nkhMchamkdthiimiiphonkathobaysaaekhy`ngkh`mphiwehiinii
ຂໍ້ຜິດພາດ	Error	khMphidphaad
ຂໍ້ຜິດພາດເກີດຂຶ້ນໃນຂະນະທີ່ຖອດ	An error occurred while extracting.	khMphidphaadekiidkhynaynkhanathiith`d
ຂໍ້ຜິດພາດຂະນະສຳເນົາຟາຍຫຼືໂຟນເດີ	Error while copying file or folder	khMphidphaadkhanasamenoaafaanyhlyyofnedii
ຂໍ້ຜິດພາດຂະນະຍ້າຍຟາຍຫຼືໂຟນເດີ	Error while moving file or folder	khMphidphaadkhananyaanyfaanyhlyyofnedii
ຂໍ້ຜິດພາດຂະນະປ່ຽນຊື່ຟາຍຫຼືໂຟນເດີ	Error while renaming file or folder	khMphidphaadkhanapnynsyyfaanyhlyyofnedii
ຂໍ້ຜິດພາດທີ່ບໍ່ໄດ້ຄາດຄິດ	Unexpected error	khMphidphaadthiibMaidkhaadkhid
ຂໍ້ມູນ	Information	khMmuun
ຂໍ້ມູນທີ່ປ້ອນບໍ່ຖືກຕ້ອງrThe	The information entered is incorrect.	khMmuunthiip`nbMthyykh`ngrThe
ຂໍ້ມູນປະຈຳຕົວ	Identity information	khMmuunpachamhow
ຂໍ້ມູນລະບົບ	System information	khMmuunlabob
ຂວາມື	Right hand	khwaamyy
ຂອງທ່ານທີ່ໄດ້ມີການຕິດຕັ້ງ	Yours has been installed.	kh`ngthaanthiiaidmiikaanhidhng
ຂອງທ່ານແລະການຊ່ວຍເຫຼືອທ່ານ	You and your help	kh`ngthaaneilakaanswnyehlyy`thaan
ຂອງໂປຣແກຣມຄົ້ນຫາ	Of the search engine	kh`ngopreikrmkhonhaa
ຂອງແຜ່ນດີສຫຼືໂປຣແກຣມ	Of a disk or program	kh`ngeiphndiishlyyopreikrm
ຂອງໄຟລ໌	of the file	kh`ngaifl
ຂ້ອຍຈະແກ້ໄຂຂໍ້ຂັດແຍ້ງໃນການຊິງໄດ້ແນວໃດ	How do I resolve a dispute in a match?	kh`nychaeikaikhkhMkhdeinyngaynkaansingaideinwayd
ຂ້ອຍຈະຕັດສິນໃຈວ່າຈະປົດລັອກໄຟລ໌ເຫຼົ່ານີ້ໄດ້ແນວໃດ	How do I decide how to unlock these files?	kh`nychahdsinaychwaachapodl`kaiflehloaaniiaideinwayd
ຂ້ອນຂ້າງ	Quite	kh`nkhaang
ຂໍອະໄພ	Sorry.	khM`aaiph
ຂະນະນີ້ແຜ່ນດີສຂອງທ່ານພ້ອມທີ່ຈະຖືກນຳໄປໃຊ້ກັບ	Your disc is now ready to be used with	khananiieiphndiiskh`ngthaanph`mthiichathyyknamaipayskb
ຂະບວນການ	Process	khabwnkaan
ຂະບວນການໃໝ່	New process	khabwnkaanayhm
ຂະບວນການໃໝ່BOpen	New processBOpen	khabwnkaanayhmBOpen
ຂະຫຍາຍການເຊື່ອມຕໍ່ເຄືອຂ່າຍ	Expand network connections	khahnyaanykaanesyy`mhMekhyy`khaany
ຂະຫຍາຍຂໍ້ຄວາມທີ່ເລືອກແລະລາຍການເທິງໜ້າຈໍອື່ນເພື່ອໃຫ້ເບິ່ງງ່າຍ	Enlarge selected text and other items on the screen for easy viewing.	khahnyaanykhMkhwaamthiielyy`keilalaanykaanethinghnaachM`yynephyy`ayhebingngaany
ຂະຫຍາຍເຄື່ອງພີມ	Enlarge the printer	khahnyaanyekhyy`ngphiim
ຂະຫຍາຍສ່ວນຂອງໜ້າຈໍໂດຍໃຊ້ໂປແກມແຫວ່ນຂະຫຍາຍ	Magnify part of the screen using a magnifier program	khahnyaanyswnkh`nghnaachModnyaysopeikmeihwnkhahnyaany
ຂະຫຍາຍສູນກາງຄວບຄຸມ	Expand the control center	khahnyaanysuunkaangkhwbkhum
ຂະຫຍາຍເພື່ອເປີດໂຟນເດີ	Expand to open folder	khahnyaanyephyy`epiidofnedii
ຂະຫຍາຍໄຫ່ຍສຸດ	Expand to the maximum	khahnyaanyaihnysud
ຂະຫຍາຍເອກະສານ	Expand the document	khahnyaanye`kasaan
ຂະຫຍາຍຮູບພາບ	Enlarge image	khahnyaanyuubphaab
ຂະໜາດການຈັດການເລີ້ມຕົ້ນ	Initial management scale	khahnaadkaanchdkaaneliimhon
ຂະໜາດຂອງໄຟລ໌	File size	khahnaadkh`ngaifl
ຂະໜາດຖັນທັງໝົດໃຫ້ພໍດີ	All columns are sized to fit.	khahnaadthnthnghmodayhphMdii
ຂະໜາດຖັນໃຫ້ພໍດີ	Column size is appropriate.	khahnaadthnayhphMdii
ຂະໜາດນ້ອຍລົງ	Smaller size	khahnaadn`nylong
ຂະໜາດລວມ	Overall size	khahnaadlwm
ຂະໜາດໃຫຍ່	Large size	khahnaadayhny
ຂະໜາດໃຫຍກວ່າ	Larger size	khahnaadayhnykwaa
ຂະໜາດໃຫຍ່ຂຶ້ນ	Larger size	khahnaadayhnykhyn
ຂະແໜງການ	Sector	khaeihnngkaan
ຂັ້ນຕອນ	Steps	khnh`n
ຂ້າມໄຟລ໌ເຫຼົ່ານີ້	Skip these files	khaamaiflehloaanii
ຂິ້	Play	khi
ຂົງເຂດຂອງຄຸນສົມບັດ	Field of qualification	khongekhdkh`ngkhunsombd
ຂົງເຂດປ່ຽນແປງວັນທີ	Region€Change date	khongekhdpnyneipngwnthii
ຂຽນຂໍ້ມູນລົງຂຽນຂໍ້ມູນລົງແຜ່ນຮູບພາບ	Write down the information‰Write the information on the image sheet	khnynkhMmuunlongkhnynkhMmuunlongeiphnuubphaab
ຂຽນຂໍ້ມູນລົງແຜ່ນຮູບພາບ	Write information on the picture board.	khnynkhMmuunlongeiphnuubphaab
ຂຽນຊີດີເພງ	Write a music CD	khnynsiidiiephng
ຂຽນບັນດາລາຍການ	Write the items.	khnynbndaalaanykaan
ຂຽນແຜ່ນດີສ	Write a CD	khnyneiphndiis
ຂຽນຟາຍລົງດິສ	Write a file to disk.	khnynfaanylongdis
ຂຽນໄຟລ໌ໃນຮູບແບບເປັນກຸ່ມ	Write files in batch format	khnynaiflaynuubeibbepnkum
ຂຽນລາຍການທີ່ເລືອກໄປຍັງແຜ່ນທີ່ບັນທຶກ	Write the selected item to the clipboard.	khnynlaanykaanthiielyy`kaipnyngeiphnthiibnthyk
ຂຽນລົງດິດສ	Write on a disk	khnynlongdids
ຂຽນລົງດິດສpThe	Write to the disk.	khnynlongdidspThe
ເຂດເວລາ	Time zone	ekhdewlaa
ເຂດຫ່າງໄກ	Remote area	ekhdhaangaik
ເຂັມ	Needle	ekhm
ເຂົ້າກັນໄດ້	Compatible	ekhoaaknaid
ເຂົ້າສູ່ລະບົບ	Log in	ekhoaasuulabob
ເຂົ້າເຖິງ	Access	ekhoaaething
ເຂົ້າເຖິງສຽງ	Access to sound	ekhoaaethingsnyng
ເຂົ້າໃນການຄົ້ນຫານີ້	Enter this search	ekhoaaaynkaankhonhaanii
ເຂົ້າໄປໃນ	Enter	ekhoaaaipayn
ເຂົ້າລະຫັດລັບຟາຍອ໊ອບລາຍຂອງເຈົ້າ	Enter your offline password.	ekhoaalahdlbfaany``blaanykh`ngechoaa
ເຂົ້າຮ່ວມກັບໂດເມນ	Join the domain	ekhoaawmkbodemn
ເຂົ້າຮ່ວມຕອນນີ້	Join now	ekhoaawmh`nnii
ຄລິກ	Click	khlik
ຄລິກສອງເທື່ອ	Double click	khliks`ngethyy`
ຄລິກສືບຕໍ່ເພື່ອຮັບການເຂົ້າເຖິງໂຟນເດີນີ້ຢ່າງຖາວອນ	Click Continue to gain permanent access to this folder.	khliksyybhMephyy`bkaanekhoaaethingofnediiniiyaangthaaw`n
ຄລິກບ່ອນນີ້ເພື່ອເບິ່ງໂປຣແກຣມ	Click here to view the program	khlikb`nniiephyy`ebingopreikrm
ຄລິບບອດ	Clipboard	khlibb`d
ຄວບຄຸມຕົວກັ່ນຕອງ	Filter control	khwbkhumhowknh`ng
ຄວບຄຸມໂປຣແກຣມຄົ້ນຫາຂອງ	Control your search engine.	khwbkhumopreikrmkhonhaakh`ng
ຄວາມກ້ວາງ	Width	khwaamkwaang
ຄວາມກວ້າງຂອງຖັນທັງໝົດ	Total column width	khwaamkwaangkh`ngthnthnghmod
ຄວາມໃກ້ຊິດ	Closeness	khwaamayksid
ຄວາມຂັດແຍ້ງ	Conflict	khwaamkhdeinyng
ຄວາມຄິດເຫັນ	Opinion	khwaamkhidehn
ຄວາມຄືບໜ້າ	Progress	khwaamkhyybhnaa
ຄວາມຄືບໜ້າຂອງການດໍາເນີນງານ	Progress of operations	khwaamkhyybhnaakh`ngkaandMaaeniinngaan
ຄວາມຄືບໜ້າຂອງການດໍາເນີນງານຂັ້ນສູງ	Advanced Operations Progress	khwaamkhyybhnaakh`ngkaandMaaeniinngaankhnsuung
ຄວາມຄືບໜ້າຂອງການດໍາເນີນງານທີ່ບໍ່ແນ່ນອນ	Uncertain progress of operations	khwaamkhyybhnaakh`ngkaandMaaeniinngaanthiibMeinn`n
ຄວາມງ່າຍໃນການເຂົ້າເຖິງ	Ease of access	khwaamngaanyaynkaanekhoaaething
ຄວາມງ່າຍໃນການເຂົ້າເຖິງຂອງ	Ease of access to	khwaamngaanyaynkaanekhoaaethingkh`ng
ຄວາມສອດຄອງ	Consistency	khwaams`dkh`ng
ຄວາມສະດວກ	Convenience	khwaamsadwk
ຄວາມສະຫວ່າງ	Brightness	khwaamsahwaang
ຄວາມຊັດເຈນ	Clarity	khwaamsdechn
ຄວາມຕ້ອງການ	Requirements	khwaamh`ngkaan
ຄວາມຖີ່	Frequency	khwaamthii
ຄວາມຖືກຕ້ອງ	Accuracy	khwaamthyykh`ng
ຄວາມບັນເທິງ	Entertainment	khwaambnething
ຄວາມປອດໄພ	ŠSecurity	khwaamp`daiph
ຄວາມປອດໄພThe	The security	khwaamp`daiphThe
ຄວາມປອດໄພຂອງ	The safety of	khwaamp`daiphkh`ng
ຄວາມປອດໄພຂອງຄອບຄົວNປ່ຽນການຕັ້ງຄ່າບັນຊີຜູ້ໃຊ້	Family SafetyNChange user account settings	khwaamp`daiphkh`ngkh`bkhowNpnynkaanhngkhaabnsiiphuuays
ຄວາມເປັນສ່ວນຕົວ	Privacy	khwaamepnswnhow
ຄວາມເປັນສ່ວນຕົວດ້ານ	Privacy	khwaamepnswnhowdaan
ຄວາມຜິດພາດ	Error	khwaamphidphaad
ຄວາມຜິດພາດສຳຄັນfເມນູເລີ່ມຕົ້ນ	Critical error in the start menu	khwaamphidphaadsamkhnfemnuueliimhon
ຄວາມພ້ອມໃຊ້ວຽກແບບອອບລາຍ	Offline availability	khwaamph`mayswnykeibb``blaany
ຄວາມລະອຽດ	Resolution	khwaamla`nyd
ຄວາມຫຍຸ້ງຍາກ	Difficulty	khwaamhnyungnyaak
ຄວາມໜ້າເຊື່ອຖື	Reliability	khwaamhnaaesyy`thyy
ຄວາມຮຽກຮ້ອງຕ້ອງການ	Demand	khwaamnyk`ngh`ngkaan
ຄອມ	Porn	kh`m
ຄອມພິວເຕີ	Computer	kh`mphiwehii
ຄອມພິວເຕີຂອງຂ້ອຍ	My computer	kh`mphiwehiikh`ngkh`ny
ຄອມພິວເຕີຕັ້ງໂຕະ	Desktop computer	kh`mphiwehiihngoha
ຄອມພິວເຕີ້ນີ້	This computer	kh`mphiwehiinii
ຄອມພິວເຕີມືຖື	Mobile computer	kh`mphiwehiimyythyy
ຄອມພີວເຕີຂອງທ່ານ	Your computer	kh`mphiiwehiikh`ngthaan
ຄອມພີວເຕີຂອງທ່ານເພື່ອໃຫ້ທ່ານສາມາດເຮັດວຽກ	Your computer so you can work	kh`mphiiwehiikh`ngthaanephyy`ayhthaansaamaadedwnyk
ຄອມພີວເຕີອື່ນ	Other computers	kh`mphiiwehii`yyn
ຄັງຂອງ	Treasury	khngkh`ng
ຄັງຂອງໄອຄອນ	Icon gallery	khngkh`ngai`kh`n
ຄັງນີ້ສາມາດໄດ້ຮັບການລຶບໄດ້ຢ່າງປອດໄພ	This archive can be safely deleted.	khngniisaamaadaidbkaanlybaidyaangp`daiph
ຄັງໃໝ່	New store	khngayhm
ຄັດລອກຟາຍ	Copy file	khdl`kfaany
ຄັດລອກລາຍການ	Copy the item.	khdl`klaanykaan
ຄັນຈິ	Kanji	khnchi
ຄາສທ໌ໃສ່ອຸປະກອນ	Cast to device	khaasthays`upak`n
ຄາດຄະເນ	Estimate	khaadkhaen
ຄ່າຕົວກັ່ນຕອງ	Filter value	khaahowknh`ng
ຄ່າເລີ່ມຕົ້ນ	Default value	khaaeliimhon
ຄ່າເລີ້ມຕົ້ນ	Starting price	khaaeliimhon
ຄໍາ	Word	khMaa
ຄໍາກຳມະ	Verb	khMaakamma
ຄໍາສັ່ງ	Order	khMaasng
ຄຳສັ່ງແລ່ນ	Run command	khamsngeiln
ຄໍາສໍາຄັນ	Keywords	khMaasMaakhn
ຄຳເຊີນ	Invitation	khamesiin
ຄໍາຕອບ	Answer	khMaah`b
ຄໍານວນເວລາທີ່ໃຊ້ໃນການຍ້າຍຟາຍ	Calculate the time taken to move files.	khMaanwnewlaathiiaysaynkaannyaanyfaany
ຄໍາແນະນໍາ	Instructions	khMaaeinanMaa
ຄໍາອະທິບາຍ	Explanation	khMaa`athibaany
ຄີການເຂົ້າເຖິງໄດ້ງ່າຍ	Easy access key	khiikaanekhoaaethingaidngaany
ຄີໂລໂກ້	Key logo	khiiolok
ຄືນຄ່າ	Refund	khyynkhaa
ຄືນຄ່າວິນໂດໂຟນເດີກ່ອນໜ້ານີ້ເມື່ອເຂົ້າສູ່ລະບົບ	Restore previous Windows folder settings when logging in.	khyynkhaawinodofnediik`nhnaaniiemyy`ekhoaasuulabob
ຄືເພື່ອໃຊ້ໃນການຖ່າຍໂອນຟາຍລະຫວ່າງ	It is used to transfer files between	khyyephyy`aysaynkaanthaanyo`nfaanylahwaang
ຄຸກກີ້	Cookies	khukkii
ຄຸນສົ	Qualities	khunso
ຄຸນສົມບັດຂອງ	Properties of	khunsombdkh`ng
ຄຸນສົມບັດຂອງລະບົບeສະແດງຂໍ້ມູນກ່ຽວກັບຄອມພີວເຕີຂອງທ່ານ	System Properties displays information about your computer.	khunsombdkh`nglabobesaeidngkhMmuunknywkbkh`mphiiwehiikh`ngthaan
ຄຸນສົມບັດໃນການນຳເສັ້ນທາງ	Navigation features	khunsombdaynkaannamesnthaang
ຄຸນສົມບັດອື່ນ	Other features	khunsombd`yyn
ຄຸນປະໂຫຍດ	Benefits	khunpaohnyd
ຄຸນລັກສະນະ	Characteristics	khunlksana
ຄຸ້ມຄອງໜ້າວຽກ	Manage tasks	khumkh`nghnaawnyk
ຄູ່ມື	Manual	khuumyy
ຄົງທີ່	Constant	khongthii
ຄົ້ນຫາຂອບເຂດຂອງໜ້າ	Search page boundaries	khonhaakh`bekhdkh`nghnaa
ຄົ້ນຫາຂອບເຂດທີ່ກຳນົດເອງ	Search for a custom range	khonhaakh`bekhdthiikamnode`ng
ຄົ້ນຫາຄັງອິນເຕີເນັດ	Search the Internet Archive	khonhaakhng`inehiiend
ຄົ້ນຫາຄໍາອະທິບາຍຂອງຕົວເຊື່ອມຕໍ່	Search for a description of the connector.	khonhaakhMaa`athibaanykh`nghowesyy`mhM
ຄົ້ນຫາສະເພາະໃນໂຟນເດີທີ່ຖືກເລືອກ	Search specifically in the selected folder	khonhaasaephaaaaynofnediithiithyykelyy`k
ຄົ້ນຫາສໍາລັບ	Search for	khonhaasMaalb
ຄົ້ນຫາໂດຍ	Search by	khonhaaodny
ຄົ້ນຫາໂດຍຊະນິດຂອງໄຟລ໌	Search by file type	khonhaaodnysanidkh`ngaifl
ຄົ້ນຫາໂດຍນຳໃຊ້	Search using	khonhaaodnynamays
ຄົ້ນຫາໂດຍບໍ່ມີໂຟນເດີສາທາລະນະ	Search without public folders	khonhaaodnybMmiiofnediisaathaalana
ຄົ້ນຫາໂດຍວັນທີທີ່ແກ້ໄຂ	Search by date modified	khonhaaodnywnthiithiieikaikh
ຄົ້ນຫາຕົວເຊື່ອມຕໍ່	Search for connectors	khonhaahowesyy`mhM
ຄົ້ນຫາແຕ່ຄອມພິວເຕີຂອງຂ້ອຍເທົ່ານັ້ນ	Search only my computer.	khonhaaeihkh`mphiwehiikh`ngkh`nyethoaann
ຄົ້ນຫາໃນຄັງທັງໝົດ	Search the entire gallery	khonhaaaynkhngthnghmod
ຄົ້ນຫາໃນພີຊີນີ້	Search this PC	khonhaaaynphiisiinii
ຄົ້ນຫາໃນເວັບໄຊທ໌	Search the website	khonhaaaynewbaisth
ຄົ້ນຫາບໍລິການການຊ່ວຍເຫຼືອແລະວິທີໃຊ້ຂອງ	Find help services and how to use them.	khonhaabMlikaankaanswnyehlyy`eilawithiiayskh`ng
ຄົ້ນຫາໂປຣແກຣມ	Search for programs	khonhaaopreikrm
ຄົ້ນຫາຜະລິດຕະພັນທີ່ສ້າງຂື້ນສຳລັບ	Search for products created for	khonhaaphalidhaphnthiisaangkhyynsamlb
ຄົ້ນຫາຜົນຮັບໃນ	Search results in	khonhaaphonbayn
ຄົ້ນຫາໂຟນເດີທີ່ເລືອກ	Search the selected folder	khonhaaofnediithiielyy`k
ຄົ້ນຫາໄຟລ໌	Search for files	khonhaaaifl
ຄົ້ນຫາໄຟລ໌ທີ່ເປັນດັດຊະນີ	Search for indexed files	khonhaaaiflthiiepnddsanii
ຄົ້ນຫາຢູ່ເທິງອຸປະກອນ	Search on device	khonhaayuuething`upak`n
ຄົ້ນຫາໃໝ່	New search	khonhaaayhm
ຄົ້ນຫາຫ້ອງສະຫມຸດໂຮມກຸ໊ບ	Search the Homegroup Library	khonhaah`ngsahmudomkub
ຄົ້ນຫາອອນລາຍ	Search online	khonhaa``nlaany
ຄົ້ນຫາອັອຟລາຍ	Search offline	khonhaa``flaany
ຄົ້ນຫາອີກຄັ້ງ	Search again.	khonhaa`iikkhng
ຄົ້ນຫາອີກຄັ້ງໃນ	Search again in	khonhaa`iikkhngayn
ຄົ້ນຫາອີກຄັ້ງໃນສະຖານທີ່	Search again in the location	khonhaa`iikkhngaynsathaanthii
ຄົ້ນຫາຮ່ວມກັບໂຟນເດີສາທາລະນະ	Search with public folders	khonhaawmkbofnediisaathaalana
ຄົນຫູໜວກ	Deaf person	khonhuuhnwk
ຄຽງຂ້າງກັນ	Side by side	khnyngkhaangkn
ເຄິ່ງໜຶ່ງ	Half	ekhinghnyng
ເຄືອຂ່າຍ	Network	ekhyy`khaany
ເຄື່ອງຄິດເລກ	Calculator	ekhyy`ngkhidelk
ເຄື່ອງຈັກ	Engine	ekhyy`ngchk
ເຄື່ອງສະແກນ	Scanner	ekhyy`ngsaeikn
ເຄື່ອງດົນຕີ	Musical instrument	ekhyy`ngdonhii
ເຄື່ອງນີ້	This machine	ekhyy`ngnii
ເຄື່ອງບັນທຶກສຽງ	Voice recorder	ekhyy`ngbnthyksnyng
ເຄື່ອງພິມ	Printer	ekhyy`ngphim
ເຄື່ອງມືຄຸ້ມຄອງບໍລິຫານຂອງ	Administrative tools	ekhyy`ngmyykhumkh`ngbMlihaankh`ng
ເຄື່ອງມືຜູ້ຄຸ້ມຄອງ	Administrator tools	ekhyy`ngmyyphuukhumkh`ng
ເຄື່ອງມືຜູ້ຄຸ້ມຄອງລະບົບ	System Administrator Tools	ekhyy`ngmyyphuukhumkh`nglabob
ເຄື່ອງໝາຍແຍກສ່ວນ	Separator	ekhyy`nghmaanyeinykswn
ເຄື່ອງຫຼິ້ນ	Toys	ekhyy`nghlin
ເຄື່ອງອ່ານ	Reading machine	ekhyy`ng`aan
ເຄື່ອງເຮັດໃຫ້ມືດລົງ	Dimming machine	ekhyy`ngedayhmyydlong
ເຄື່ອນໄຫວຕົວຄວບຄຸມແລະອົງປະກອບພາຍໃນ	Move the controller and internal components	ekhyy`naihwhowkhwbkhumeila`ongpak`bphaanyayn
ໂຄສະນາ	Advertisement	okhsanaa
ງຟາຍ	Good morning	ngfaany
ງໃໝ່ອີກຄັ້ງ	New again	ngayhm`iikkhng
ງ່າຍຂຶ້ນ	Easier	ngaanykhyn
ເງິນໂດລາ	Dollar	enginodlaa
ຈໍ	Screen	chM
ຈນ	Chinese	chn
ຈ່ອຍ	Thin	ch`ny
ຈະສຳເລັດ	Will be completed	chasameld
ຈະສືບຕໍ່ການຈັດຮູບແບບແຜ່ນການໃນພື້ນຖານຂອງ	Will continue to format the sheet in the background	chasyybhMkaanchduubeibbeiphnkaanaynphyynthaankh`ng
ຈະໃຊ້ໄດ້ສະເພາະ	Will be used exclusively	chaaysaidsaephaaa
ຈະຖືກເອົາອອກ	Will be removed	chathyyke`oaa``k
ຈະບໍ່	Will not	chabM
ຈະປິດການຟອກເມດອີກຄັ້ງ	Will close the meter again.	chapidkaanf`kemd`iikkhng
ຈະມີຈຳນວນທີ່ເພີ່ມເຂົ້າມາໃນຊື່	There will be a number added to the list.	chamiichamnwnthiiephiimekhoaamaaaynsyy
ຈະມີໂຟນເດີ	There will be a folder.	chamiiofnedii
ຈັດການກັບ	Deal with	chdkaankb
ຈັດການກັບການຕັ້ງຄ່າການແບ່ງປັນຂັ້ນສູງ	Manage advanced sharing settings	chdkaankbkaanhngkhaakaaneibngpnkhnsuung
ຈັດການກັບຄັງ	Manage the treasury	chdkaankbkhng
ຈັດການກັບໃບຢັ້ງຢືນຂອງຄອມພິວເຕີ	Manage computer certificates	chdkaankbaybyngyyynkh`ngkh`mphiwehii
ຈັດການກັບໃບຢັ້ງຢືນຂອງຜູ້ໃຊ້	Manage user certificates	chdkaankbaybyngyyynkh`ngphuuays
ຈັດການກັບພື້ນທີ່ຈັດເກັບຂໍ້ມູນ	Manage storage space	chdkaankbphyynthiichdekbkhMmuun
ຈັດການກັບໄຟລ໌ແບບອອບລາຍ	Manage files offline	chdkaankbaifleibb``blaany
ຈັດການຂໍ້ມູນປະຈໍາຕົວຂອງ	Manage your credentials	chdkaankhMmuunpachMaahowkh`ng
ຈັດການຂໍ້ມູນປະຈໍາຕົວຂອງເວັບ	Manage web credentials	chdkaankhMmuunpachMaahowkh`ngewb
ຈັດການເນື້ອທີ່ດິສທີ່ໃຊ້ໂດຍຟາຍອ໊ອບລາຍຂອງເຈົ້າ	Manage the disk space used by your offline files.	chdkaanenyy`thiidisthiiaysodnyfaany``blaanykh`ngechoaa
ຈັດການໃບຮັບຮອງການເຂົ້າລະຫັດລັບຟາຍ	Manage encryption certificates	chdkaanaybb`ngkaanekhoaalahdlbfaany
ຈັດການໂຟນເດີວຽກ	Manage work folders	chdkaanofnediiwnyk
ຈັດການລະຫັດຜ່ານເຄືອຂ່າຍ	Manage network passwords	chdkaanlahdphaanekhyy`khaany
ຈັດການອຸປະກອນກ່ຽວກັບສຽງ	Manage audio devices	chdkaan`upak`nknywkbsnyng
ຈັດກຸ່ມໂດຍ	Group by	chdkumodny
ຈັດກຸ່ມລາຍການໃນການເບິ່ງນີ້ດ້ວຍຖັນ	Group items in this view by column.	chdkumlaanykaanaynkaanebingniidwnythn
ຈັດກຸ່ມໜ້າຕ່າງທີ່ຄ້າຍຄືກັນເທິງແຖບງານ	Group similar windows on the taskbar.	chdkumhnaahaangthiikhaanykhyyknethingeithbngaan
ຈັດກຽມ	Prepare	chdknym
ຈັດກຽມແຜ່ນຮູບພາບຕາມໄດຣວ໌	Prepare the image disk according to the drive.	chdknymeiphnuubphaabhaamaidrw
ຈັດເກັບຂໍ້ມູນ	Data storage	chdekbkhMmuun
ຈັດດັດຊະນີ	Organize the index	chdddsanii
ຈັດດັດຊະນີຄືນໃໝ່	Reorganize the index	chdddsaniikhyynayhm
ຈັດໂດຍ	Organized by	chdodny
ຈັດລະບຽບ	Organize	chdlabnyb
ຈັດລະບຽບເນື້ອໃນຂອງໂຟນເດີນີ້	Organize the contents of this folder.	chdlabnybenyy`aynkh`ngofnediinii
ຈັດລາຍການຢູ່ໃນຄັງນີ້	Organize items in this gallery	chdlaanykaanyuuaynkhngnii
ຈັດລຽງກຸ່ມຕາມລໍາດັບຈາກໜ້ອຍໄປຫາຫຼາຍ	Arrange the groups in order from least to most.	chdlnyngkumhaamlMaadbchaakhn`nyaiphaahlaany
ຈັດລຽງກຸ່ມຕາມລໍາດັບຈາກຫຼາຍໄປຫາໜ້ອຍ	Arrange the groups in order from most to least.	chdlnyngkumhaamlMaadbchaakhlaanyaiphaahn`ny
ຈັດລຽງລາຍການຕາມລໍາດັບຈາກໜ້ອຍໄປຫາຫຼາຍ	Arrange items in order from least to most.	chdlnynglaanykaanhaamlMaadbchaakhn`nyaiphaahlaany
ຈັດລຽງລາຍການຕາມລໍາດັບຈາກຫຼາຍໄປຫາໜ້ອຍ	Sort items in order from most to least.	chdlnynglaanykaanhaamlMaadbchaakhlaanyaiphaahn`ny
ຈັດລຽງໄອຄອນ	Arrange icons	chdlnyngai`kh`n
ຈັດລຽງໄອຄອນໂດຍອັດຕະໂນມັດ	Automatically arrange icons	chdlnyngai`kh`nodny`dhaonmd
ຈັດລຽງໄອຄອນໃນເສັ້ນຕາຕະລາງໂດຍອັດຕະໂນມັດ	Automatically arrange icons in grid lines	chdlnyngai`kh`naynesnhaahalaangodny`dhaonmd
ຈັດອັນດັບ	Rank	chd`ndb
ຈັດຮູບແບບ	Format	chduubeibb
ຈັດຮູບແບບຄືນ	Reformat	chduubeibbkhyyn
ຈັດຮູບແບບດິສ	Format a disk	chduubeibbdis
ຈັດຮູບແບບໄດຣທີ່ເລືອກ	Format the selected drive.	chduubeibbaidrthiielyy`k
ຈັດຮຽງຂໍ້ມູນ	Sort data	chdnyngkhMmuun
ຈັດຮຽງໂດຍ	Sort by	chdnyngodny
