the	ðiː	t-h-ē	ㄘㄧ	該
shaking	ˈʃeɪkɪŋ	sh-ā-k-i-ng	ㄕㄝㄧㄍㄧㄥ	發抖
ground's	graʊndz	g-r-o-w-n-d-z	ㄍㄖㄚㄡㄋㄉㄗ	理由
cheese-eating	ʧiːz-ˈiːtɪŋ	ch-ē-z-ē-t-i-ng	ㄓㄧㄗ-ㄧㄉㄧㄥ	奶酪吃
process	ˈprəʊsɛs	p-r-ə-oo-s-é-s	ㄅㄖㄦㄡㄙㄜㄙ	處理
roof	ruːf	r-ū-f	ㄖㄨㄈ	屋頂
ducky	ˈdʌki	d-u-k-ē	ㄉㄨㄍㄧ	鴨子
faith	feɪθ	f-ā-th	ㄈㄝㄧㄊ	信仰
positive	ˈpɒzətɪv	p-o-z-ə-t-i-v	ㄅㄛㄗㄦㄉㄧㄈ	正
friend	frɛnd	f-r-é-n-d	ㄈㄖㄜㄋㄉ	朋友
feather	ˈfɛðə	f-é-t-h-ə	ㄈㄜㄘㄦ	羽毛
motion	ˈməʊʃən	m-ə-oo-sh-ə-n	ㄇㄦㄡㄕㄣ	運動
scrambled	ˈskræmbld	s-k-r-a-m-b-l-d	ㄙㄍㄖㄚㄇㄅㄌㄉ	炒
definitely	ˈdɛfɪnɪtli	d-é-f-i-n-i-t-l-ē	ㄉㄜㄈㄧㄋㄧㄉㄌㄧ	無疑
sunny-side	ˈsʌni-saɪd	s-u-n-ē-s-ī-d	ㄙㄨㄋㄧ-ㄙㄚㄧㄉ	煎一面
themselves	ðəmˈsɛlvz	t-h-ə-m-s-é-l-v-z	ㄘㄦㄇㄙㄜㄌㄈㄗ	他們自己
fetch	fɛʧ	f-é-ch	ㄈㄜㄓ	取
hell	hɛl	h-é-l	ㄏㄜㄌ	地獄
caper	ˈkeɪpə	k-ā-p-ə	ㄍㄝㄧㄅㄦ	跳躍
raining	ˈreɪnɪŋ	r-ā-n-i-ng	ㄖㄝㄧㄋㄧㄥ	下雨
senses	ˈsɛnsɪz	s-é-n-s-i-z-	ㄙㄜㄋㄙㄧㄗ	感官
attila	attila	a-t-t-ē-l-a	ㄚㄉㄉㄧㄌㄚ	阿提拉
anymore	ˌɛniˈmɔː	-é-n-ē-m-ô	ㄜㄋㄧㄇㄛ	再
walk	wɔːk	w-ô-k	ㄨㄛㄍ	步行
certainly	ˈsɜːtnli	s-û-t-n-l-ē	ㄙㄦㄉㄋㄌㄧ	當然
dizzy	ˈdɪzi	d-i-z-ē	ㄉㄧㄗㄧ	頭暈
cut	kʌt	k-u-t	ㄍㄨㄉ	切
progress	ˈprəʊgrəs	p-r-ə-oo-g-r-ə-s	ㄅㄖㄦㄡㄍㄖㄦㄙ	進展
relax	rɪˈlæks	r-i-l-a-k-s	ㄖㄧㄌㄚㄍㄙ	放鬆
involved	ɪnˈvɒlvd	i-n-v-o-l-v-d	ㄧㄋㄈㄛㄌㄈㄉ	參與
usually	ˈjuːʒʊəli	yü-zh-ü-ə-l-ē	ㄡㄨㄓㄡㄦㄌㄧ	平時
spot	spɒt	s-p-o-t	ㄙㄅㄛㄉ	點
pecking	ˈpɛkɪŋ	p-é-k-i-ng	ㄅㄜㄍㄧㄥ	啄
team	tiːm	t-ē-m-	ㄉㄧㄇ	球隊
codswallop	codswallop	co-d-s-w-a-l-l-o-p	ㄕㄛㄉㄙㄨㄚㄌㄌㄛㄅ	廢話
overnight	ˌəʊvəˈnaɪt	ə-oo-v-ə-n-ī-t	ㄦㄡㄈㄦㄋㄚㄧㄉ	過夜
huh	hʌ	h-u	ㄏㄨ	呵呵
breath	brɛθ	b-r-é-th	ㄅㄖㄜㄊ	呼吸
smell	smɛl	s-m-é-l	ㄙㄇㄜㄌ	聞
wing's	wɪŋz	w-i-ng-z	ㄨㄧㄥㄗ	機翼
scoot	skuːt	s-k-ū-t	ㄙㄍㄨㄉ	溜走
choice	ʧɔɪs	ch-o-ē-s	ㄓㄛㄧㄙ	選擇
weren't	wɜːnt	w-û-n-t	ㄨㄦㄋㄉ	不
noncommissioned	noncommissioned	n-o-n-co-m-m-ē-s-s-ē-o-n-e-d	ㄋㄛㄋㄕㄛㄇㄇㄧㄙㄙㄧㄛㄋㄝㄉ	士官
share	ʃeə	sh-ã	ㄕㄝㄦ	分享
asking	ˈɑːskɪŋ	ä-s-k-i-ng	ㄚㄙㄍㄧㄥ	問
end	ɛnd	é-n-d	ㄜㄋㄉ	結束
held	hɛld	h-é-l-d	ㄏㄜㄌㄉ	保持
hideout	ˈhaɪdˈaʊt	h-ī-d-o-w-t	ㄏㄚㄧㄉㄚㄡㄉ	巢穴
maybe	ˈmeɪbiː	m-ā-b-ē	ㄇㄝㄧㄅㄧ	也許
vulture	ˈvʌlʧə	v-u-l-ch-ə	ㄈㄨㄌㄓㄦ	禿鷲
freedom	ˈfriːdəm	f-r-ē-d-ə-m	ㄈㄖㄧㄉㄦㄇ	自由
emphasis	ˈɛmfəsɪs	é-m-f-ə-s-i-s	ㄜㄇㄈㄦㄙㄧㄙ	重點
torch	tɔːʧ	t-ô-ch	ㄉㄛㄓ	火炬
sure	ʃʊə	sh-ü-ə	ㄕㄡㄦ	當然
finds	faɪndz	f-ī-n-d-z	ㄈㄚㄧㄋㄉㄗ	認定
what'll	ˈwɒt(ə)l	w-o-t-ə-l	ㄨㄛㄉㄦㄌ	什麼會
crazy	ˈkreɪzi	k-r-ā-z-ē	ㄍㄖㄝㄧㄗㄧ	瘋
cute	kjuːt	k-yü-t	ㄍㄡㄨㄉ	可愛
shouldn't	ʃʊdnt	sh-oo-d-n-t	ㄕㄡㄉㄋㄉ	不能
reason	ˈriːzn	r-ē-z-n	ㄖㄧㄗㄋ	原因
should	ʃʊd	sh-oo-d	ㄕㄡㄉ	應該
low	ləʊ	l-ə-oo	ㄌㄦㄡ	低
suicide	ˈsjʊɪsaɪd	s-y-oo-i-s-ī-d	ㄙㄡㄡㄧㄙㄚㄧㄉ	自殺
stunt	stʌnt	s-t-u-n-t	ㄙㄉㄨㄋㄉ	特技
certifiable	ˈsɜːtɪfaɪəbl	s-û-t-i-f-ī-ə-b-l	ㄙㄦㄉㄧㄈㄚㄧㄦㄅㄌ	認證的
straight	streɪt	s-t-r-ā-t	ㄙㄉㄖㄝㄧㄉ	直行
minute	ˈmɪnɪt	m-i-n-i-t	ㄇㄧㄋㄧㄉ	分鐘
bust	bʌst	b-u-s-t	ㄅㄨㄙㄉ	胸圍
birdcage	ˈbɜːdkeɪʤ	b-û-d-k-ā-y	ㄅㄦㄉㄍㄝㄧㄓ	鳥籠
besides	bɪˈsaɪdz	b-i-s-ī-d-z	ㄅㄧㄙㄚㄧㄉㄗ	除了
problems	ˈprɒbləmz	p-r-o-b-l-ə-m-z	ㄅㄖㄛㄅㄌㄦㄇㄗ	問題
understand	ˌʌndəˈstænd	u-n-d-ə-s-t-a-n-d	ㄨㄋㄉㄦㄙㄉㄚㄋㄉ	理解
used	juːzd	yü-z-d	ㄡㄨㄗㄉ	用過的
properly	ˈprɒpəli	p-r-o-p-ə-l-ē	ㄅㄖㄛㄅㄦㄌㄧ	正確
situation	ˌsɪtjʊˈeɪʃən	s-i-t-y-oo-ā-sh-ə-n	ㄙㄧㄉㄡㄡㄝㄧㄕㄣ	情況
explain	ɪksˈpleɪn	i-k-s-p-l-ā-n	ㄧㄍㄙㄅㄌㄝㄧㄋ	說明
exit	ˈɛksɪt	é-k-s-i-t	ㄜㄍㄙㄧㄉ	出口
hearing	ˈhɪərɪŋ	h-ē-ə-r-i-ng	ㄏㄧㄦㄖㄧㄥ	聽力
born	bɔːn	b-ô-n	ㄅㄛㄋ	天生
calling	ˈkɔːlɪŋ	k-ô-l-i-ng	ㄍㄛㄌㄧㄥ	調用
shh	shh	s-h-h	ㄙㄏㄏ	噓
amen	ˈɑːˈmɛn	ä-m-é-n	ㄚㄇㄜㄋ	阿門
blows	bləʊz	b-l-ə-oo-z	ㄅㄌㄦㄡㄗ	打擊
pack	pæk	p-a-k	ㄅㄚㄍ	包
style	staɪl	s-t-ī-l	ㄙㄉㄚㄧㄌ	樣式
nope	nəʊp	n-ə-oo-p	ㄋㄦㄡㄅ	不
hi	haɪ	h-ī	ㄏㄚㄧ	嗨
barnyard	ˈbɑːnˌjɑːd	b-ä-n-y-ä-d	ㄅㄚㄋㄡㄚㄉ	稗
nature	ˈneɪʧə	n-ā-ch-ə	ㄋㄝㄧㄓㄦ	性質
traveler	ˈtrævlə	t-r-a-v-l-ə	ㄉㄖㄚㄈㄌㄦ	遊客
england	ˈɪŋglənd	i-ng-g-l-ə-n-d	ㄧㄥㄍㄌㄣㄉ	英國
brings	brɪŋz	b-r-i-ng-z	ㄅㄖㄧㄥㄗ	帶來
miracle	ˈmɪrəkl	m-i-r-ə-k-l	ㄇㄧㄖㄦㄍㄌ	奇蹟
prayers	preəz	p-r-ã-z	ㄅㄖㄝㄦㄗ	祈禱
desperate	ˈdɛspərɪt	d-é-s-p-ə-r-i-t	ㄉㄜㄙㄅㄦㄖㄧㄉ	殊死
group	gruːp	g-r-ū-p	ㄍㄖㄨㄅ	組
wants	wɒnts	w-o-n-t-s	ㄨㄛㄋㄗ	希望
catchy	ˈkæʧi	k-a-ch-ē	ㄍㄚㄓㄧ	上口
short	ʃɔːt	sh-ô-t	ㄕㄛㄉ	短
island	ˈaɪlənd	ī-l-ə-n-d	ㄚㄧㄌㄣㄉ	島
rhode	ˈrəʊd	r-ə-oo-d	ㄖㄦㄡㄉ	羅德
name's	neɪmz	n-ā-m-z	ㄋㄝㄧㄇㄗ	名字的
grandpa	ˈgrænpɑː	g-r-a-n-p-ä	ㄍㄖㄚㄋㄅㄚ	爺爺
oversexed	ˌəʊvəˈsɛkst	ə-oo-v-ə-s-é-k-s-t	ㄦㄡㄈㄦㄙㄜㄍㄙㄉ	性慾過剩的
overpaid	ˌəʊvəˈpeɪd	ə-oo-v-ə-p-ā-d	ㄦㄡㄈㄦㄅㄝㄧㄉ	買貴了
war	wɔː	w-ô	ㄨㄛ	戰爭
showing	ˈʃəʊɪŋ	sh-ə-oo-i-ng	ㄕㄦㄡㄧㄥ	展示
americans	əˈmɛrɪkənz	ə-m-é-r-i-k-ə-n-z	ㄦㄇㄜㄖㄧㄍㄣㄗ	美國人
pushy	ˈpʊʃi	p-oo-sh-ē	ㄅㄡㄕㄧ	富有進取心的
poppycock	ˈpɒpɪkɒk	p-o-p-i-k-o-k	ㄅㄛㄅㄧㄍㄛㄍ	胡說
scotland	ˈskɒtlənd	s-k-o-t-l-ə-n-d	ㄙㄍㄛㄉㄌㄣㄉ	蘇格蘭
land	lænd	l-a-n-d	ㄌㄚㄋㄉ	土地
illegal	ɪˈliːgəl	i-l-ē-g-ə-l	ㄧㄌㄧㄍㄦㄌ	非法
cockfighting's	ˈkɒkˌfaɪtɪŋz	k-o-k-f-ī-t-i-ng-z	ㄍㄛㄍㄈㄚㄧㄉㄧㄥㄗ	鬥雞的
far	fɑː	f-ä-	ㄈㄚ	遠
excit	excit	exc-ē-t	ㄝㄏㄕㄧㄉ	EXCIT
rude	ruːd	r-ū-d	ㄖㄨㄉ	無禮
top	tɒp	t-o-p	ㄉㄛㄅ	最佳
carried	ˈkærid	k-a-r-ē-d	ㄍㄚㄖㄧㄉ	攜帶的
bandage	ˈbændɪʤ	b-a-n-d-i-y	ㄅㄚㄋㄉㄧㄓ	繃帶
tweak	twiːk	t-w-ē-k	ㄉㄨㄧㄍ	擰
wee	wiː	w-ē	ㄨㄧ	凌晨
gave	geɪv	g-ā-v	ㄍㄝㄧㄈ	給
tendon	ˈtɛndən	t-é-n-d-ə-n	ㄉㄜㄋㄉㄣ	肌腱
anterior	ænˈtɪərɪə	a-n-t-ē-ə-r-ē-ə	ㄚㄋㄉㄧㄦㄖㄧㄦ	前面的
fall	fɔːl	f-ô-l	ㄈㄛㄌ	秋季
nasty	ˈnɑːsti	n-ä-s-t-ē	ㄋㄚㄙㄉㄧ	討厭
took	tʊk	t-oo-k	ㄉㄡㄍ	拿
happened	ˈhæpənd	h-a-p-ə-n-d	ㄏㄚㄅㄣㄉ	發生
suppose	səˈpəʊz	s-ə-p-ə-oo-z	ㄙㄦㄅㄦㄡㄗ	假設
demonstrations	ˌdɛmənsˈtreɪʃənz	d-é-m-ə-n-s-t-r-ā-sh-ə-n-z	ㄉㄜㄇㄣㄙㄉㄖㄝㄧㄕㄣㄗ	示威
flies	flaɪz	f-l-ī-z	ㄈㄌㄚㄧㄗ	蒼蠅
obvious	ˈɒbvɪəs	o-b-v-ē-ə-s	ㄛㄅㄈㄧㄦㄙ	明顯
picture	ˈpɪkʧə	p-i-k-ch-ə	ㄅㄧㄍㄓㄦ	圖片
posters	ˈpəʊstəz	p-ə-oo-s-t-ə-z	ㄅㄦㄡㄙㄉㄦㄗ	海報
inside	ɪnˈsaɪd	i-n-s-ī-d	ㄧㄋㄙㄚㄧㄉ	內
audience	ˈɔːdjəns	ô-d-y-ə-n-s	ㄛㄉㄡㄣㄙ	聽眾
wonderful	ˈwʌndəfʊl	w-u-n-d-ə-f-oo-l	ㄨㄨㄋㄉㄦㄈㄡㄌ	精彩
gentlemen	ˈʤɛnt(ə)lmən	y-é-n-t-ə-l-m-ə-n	ㄓㄜㄋㄉㄦㄌㄇㄣ	紳士
freedoooom	freedoooom	f-r-ee-d-oooo-m	ㄈㄖㄝㄝㄉㄛㄛㄛㄛㄇ	freedoooom
bunch	bʌnʧ	b-u-n-ch	ㄅㄨㄋㄓ	束
lead	liːd	l-ē-d	ㄌㄧㄉ	鉛
million	ˈmɪljən	m-i-l-y-ə-n	ㄇㄧㄌㄡㄣ	百萬
chances	ˈʧɑːnsɪz	ch-ä-n-s-i-z	ㄓㄚㄋㄙㄧㄗ	機會
facts	fækts	f-a-k-t-s	ㄈㄚㄍㄗ	事實
tripe	traɪp	t-r-ī-p	ㄉㄖㄚㄧㄅ	肚
load	ləʊd	l-ə-oo-d	ㄌㄦㄡㄉ	加載
heard	hɜːd	h-û-d	ㄏㄦㄉ	聽說
keys	kiːz	k-ē-z	ㄍㄧㄗ	按鍵
dogs	dɒgz	d-o-g-z	ㄉㄛㄍㄗ	小狗
anywhere	ˈɛnɪweə	é-n-i-w-ã	ㄜㄋㄧㄨㄝㄦ	隨地
live	lɪv	l-i-v	ㄌㄧㄈ	生活
feeds	fiːdz	f-ē-d-z	ㄈㄧㄉㄗ	供稿
green	griːn	g-r-ē-n	ㄍㄖㄧㄋ	綠色
cool	kuːl	k-ū-l	ㄍㄨㄌ	涼
trees	triːz	t-r-ē-z	ㄉㄖㄧㄗ	樹木
lots	lɒts	l-o-t-s	ㄌㄛㄗ	地段
spaces	ˈspeɪsɪz	s-p-ā-s-i-z	ㄙㄅㄝㄧㄙㄧㄗ	空間
wide	waɪd	w-ī-d	ㄨㄚㄧㄉ	寬
beyond	bɪˈjɒnd	b-i-y-o-n-d	ㄅㄧㄡㄛㄋㄉ	外
somewhere	ˈsʌmweə	s-u-m-w-ã	ㄙㄨㄇㄨㄝㄦ	某處
living	ˈlɪvɪŋ	l-i-v-i-ng	ㄌㄧㄈㄧㄥ	活的
enough	ɪˈnʌf	i-n-u-f	ㄧㄋㄨㄈ	足夠
roasted	ˈrəʊstɪd	r-ə-oo-s-t-i-d	ㄖㄦㄡㄙㄉㄧㄉ	烤
stuffed	stʌft	s-t-u-f-t	ㄙㄉㄨㄈㄉ	填充的
plucked	plʌkt	p-l-u-k-t	ㄅㄌㄨㄍㄉ	撥弦
spent	spɛnt	s-p-é-n-t	ㄙㄅㄜㄋㄉ	花費
she'd	ʃiːd	sh-ē-d	ㄕㄧㄉ	棚
nests	nɛsts	n-é-s-t-s	ㄋㄜㄙㄗ	巢
many	ˈmɛni	m-é-n-ē	ㄇㄜㄋㄧ	許多
hmm	hmm	h-m-m	ㄏㄇㄇ	嗯
cover-up	ˈkʌvərˈʌp	k-u-v-ə-r-u-p	ㄍㄨㄈㄦㄖㄨㄅ	掩飾
operation	ˌɒpəˈreɪʃən	o-p-ə-r-ā-sh-ə-n	ㄛㄅㄦㄖㄝㄧㄕㄣ	手術
turnip's	ˈtɜːnɪps	t-û-n-i-p-s	ㄉㄦㄋㄧㄅㄙ	蘿蔔
grief	griːf	g-r-ē-f	ㄍㄖㄧㄈ	哀思
wire	ˈwaɪə	w-ī-ə	ㄨㄚㄧㄦ	線
brand-new	ˈbrændˈnjuː	b-r-a-n-d-n-yü	ㄅㄖㄚㄋㄉㄋㄡㄨ	全新的
fiasco	fɪˈæskəʊ	f-i-a-s-k-ə-oo	ㄈㄧㄚㄙㄍㄦㄡ	慘敗
attempt	əˈtɛmpt	ə-t-é-m-p-t	ㄦㄉㄜㄇㄅㄉ	嘗試
last	lɑːst	l-ä-s-t	ㄌㄚㄙㄉ	持續
carry	ˈkæri	k-a-r-ē	ㄍㄚㄖㄧ	攜帶
chit-chat	ˈʧɪtʧæt	ch-i-t-ch-a-t	ㄓㄧㄉㄓㄚㄉ	閒聊
unnecessary	ʌnˈnɛsɪsəri	u-n-n-é-s-i-s-ə-r-ē	ㄨㄋㄋㄜㄙㄧㄙㄦㄖㄧ	不必要
waste	weɪst	w-ā-s-t	ㄨㄝㄧㄙㄉ	浪費
allowed	əˈlaʊd	ə-l-o-w-d	ㄦㄌㄚㄡㄉ	允許
scheme	skiːm	s-k-ē-m	ㄙㄍㄧㄇ	方案
plot	plɒt	p-l-o-t	ㄅㄌㄛㄉ	情節
planet	ˈplænɪt	p-l-a-n-i-t	ㄅㄌㄚㄋㄧㄉ	行星
apart	əˈpɑːt	ə-p-ä-t	ㄦㄅㄚㄉ	距離
dolt	dəʊlt	d-ə-oo-l-t	ㄉㄦㄡㄌㄉ	糊塗人
another	əˈnʌðə	ə-n-u-t-h-ə	ㄦㄋㄨㄘㄦ	另一個
telling	ˈtɛlɪŋ	t-é-l-i-ng	ㄉㄜㄌㄧㄥ	告訴
notions	ˈnəʊʃənz	n-ə-oo-sh-ə-n-z	ㄋㄦㄡㄕㄣㄗ	概念
money	ˈmʌni	m-u-n-ē	ㄇㄨㄋㄧ	錢
leader	ˈliːdə	l-ē-d-ə	ㄌㄧㄉㄦ	領導
reckon	ˈrɛkən	r-é-k-ə-n	ㄖㄜㄍㄣ	估計
onto	ˈɒntʊ	o-n-t-oo	ㄛㄋㄉㄡ	到
tired	ˈtaɪəd	t-ī-ə-d	ㄉㄚㄧㄦㄉ	累
sick	sɪk	s-i-k	ㄙㄧㄍ	生病
ha'penny	ha'penny	h-a'-p-e-n-n-y	ㄏㄚ'ㄅㄝㄋㄋㄩ	Ha'Penny休
fourpence	fourpence	-f-o-ū-r-p-e-n-ce	ㄈㄡㄖㄅㄝㄋㄕㄝ	四便士
sixpence	ˈsɪkspəns	-s-i-k-s-p-ə-n-s	ㄙㄧㄍㄙㄅㄣㄙ	六便士
seven	ˈsɛvn	s-é-v-n	ㄙㄜㄈㄋ	七
threepence	ˈθrɛpəns	th-r-é-p-ə-n-s	ㄊㄖㄜㄅㄣㄙ	三便士
shillings	ˈʃɪlɪŋz	sh-i-l-i-ng-z	ㄕㄧㄌㄧㄥㄗ	先令
fourteen	ˈfɔːˈtiːn	f-ô-t-ē-n	ㄈㄛㄉㄧㄋ	十四
twenty-two	ˈtwɛnti-tuː	t-w-é-n-t-ē-t-ū	ㄉㄨㄜㄋㄉㄧ-ㄉㄨ	二十二
move	muːv	m-ū-v	ㄇㄨㄈ	移動
else	ɛls	é-l-s	ㄜㄌㄙ	其他
seed	siːd	s-ē-d	ㄙㄧㄉ	種子
bag	bæg	b-a-g	ㄅㄚㄍ	袋
cost	kɒst	k-o-s-t	ㄍㄛㄙㄉ	成本
bigger	ˈbɪgə	b-i-g-ə	ㄅㄧㄍㄦ	大
duck	dʌk	d-u-k	ㄉㄨㄍ	鴨
dream	driːm	d-r-ē-m	ㄉㄖㄧㄇ	夢想
vision	ˈvɪʒən	v-i-zh-ə-n	ㄈㄧㄓㄣ	視力
madame	ˈmædəm	m-a-d-ə-m	ㄇㄚㄉㄦㄇ	老闆娘
weddings	ˈwɛdɪŋz	w-é-d-i-ng-z	ㄨㄜㄉㄧㄥㄗ	婚禮
parties	ˈpɑːtiz	p-ä-t-ē-z	ㄅㄚㄉㄧㄗ	派對
hats	hæts	h-a-t-s	ㄏㄚㄗ	帽子
hens	hɛnz	h-é-n-z	ㄏㄜㄋㄗ	母雞
pop	pɒp	p-o-p	ㄅㄛㄅ	流行的
simply	ˈsɪmpli	s-i-m-p-l-ē	ㄙㄧㄇㄅㄌㄧ	只是
paree	paree	p-a-r-ee	ㄅㄚㄖㄝㄝ	paree
fashionable	ˈfæʃnəbl	-f-a-sh-n-ə-b-l	ㄈㄚㄕㄋㄦㄅㄌ	時髦
rage	reɪʤ	r-ā-y	ㄖㄝㄧㄓ	憤怒
number	ˈnʌmbə	n-u-m-b-ə	ㄋㄨㄇㄅㄦ	數
pendant	ˈpɛndənt	p-é-n-d-ə-n-t	ㄅㄜㄋㄉㄣㄉ	垂飾
necklace	ˈnɛklɪs	n-é-k-l-i-s	ㄋㄜㄍㄌㄧㄙ	項鍊
tea	tiː	t-ē	ㄉㄧ	茶
handcrafted	handcrafted	h-a-n-d-c-r-a-f-t-e-d	ㄏㄢㄉㄕㄖㄚㄈㄉㄝㄉ	手工製作
quality	ˈkwɒlɪti	k-w-o-l-i-t-ē	ㄍㄨㄛㄌㄧㄉㄧ	質量
service	ˈsɜːvɪs	s-û-v-i-s	ㄙㄦㄈㄧㄙ	服務
nick	nɪk	n-i-k	ㄋㄧㄍ	缺口
meeting	ˈmiːtɪŋ	m-ē-t-i-ng	ㄇㄧㄉㄧㄥ	會議
spread	sprɛd	s-p-r-é-d	ㄙㄅㄖㄜㄉ	傳播
anyone	ˈɛnɪwʌn	é-n-i-w-u-n	ㄜㄋㄧㄨㄨㄋ	任何人
well-chuffed	wɛl-ʧʌft	w-é-l-ch-u-f-t	ㄨㄜㄌ-ㄓㄨㄈㄉ	精心chuffed
grounded	ˈgraʊndɪd	g-r-o-w-n-d-i-d	ㄍㄖㄚㄡㄋㄉㄧㄉ	接地
lad	læd	l-a-d	ㄌㄚㄉ	小伙子
reprimand	ˈrɛprɪmɑːnd	r-é-p-r-i-m-ä-n-d	ㄖㄜㄅㄖㄧㄇㄚㄋㄉ	懲戒
stern	stɜːn	s-t-û-n	ㄙㄉㄦㄋ	嚴肅
ranking	ˈræŋkɪŋ	r-a-ng-k-i-ng	ㄖㄚㄥㄍㄧㄥ	排行
talk	tɔːk	t-ô-k	ㄉㄛㄍ	談論
tally-ho	ˈtælɪˈhəʊ	t-a-l-i-h-ə-oo	ㄉㄚㄌㄧㄏㄦㄡ	發現目標
smarten	ˈsmɑːtn	s-m-ä-t-n	ㄙㄇㄚㄉㄋ	變得聰明
march	mɑːʧ	m-ä-ch	ㄇㄚㄓ	遊行
parade	pəˈreɪd	p-ə-r-ā-d	ㄅㄦㄖㄝㄧㄉ	遊行
confinement	kənˈfaɪnmənt	k-ə-n-f-ī-n-m-ə-n-t	ㄍㄣㄈㄚㄧㄋㄇㄣㄉ	坐月子
solitary	ˈsɒlɪtəri	s-o-l-i-t-ə-r-ē	ㄙㄛㄌㄧㄉㄦㄖㄧ	孤
wasn't	wɒznt	w-o-z-n-t	ㄨㄛㄗㄋㄉ	不
escapes	ɪsˈkeɪps	i-s-k-ā-p-s	ㄧㄙㄍㄝㄧㄅㄙ	逃逸
lot	lɒt	l-o-t	ㄌㄛㄉ	批量
lesson	ˈlɛsn	l-é-s-n	ㄌㄜㄙㄋ	課
outside	ˌaʊtˈsaɪd	o-w-t-s-ī-d	ㄚㄡㄉㄙㄚㄧㄉ	外
